word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
provide,50,3108,5.08e-06,0.00037274,0.01363
text,64,3135,6.5e-06,0.00037598,0.017296
rigsdaler,12,369,1.22e-06,4.425e-05,0.027553
sagsøgeren,28,535,2.85e-06,6.416e-05,0.044342
english,196,3146,1.992e-05,0.0003773,0.052784
verificeret,15,203,1.52e-06,2.435e-05,0.062604
translate,22,293,2.24e-06,3.514e-05,0.063615
immigranter,24,285,2.44e-06,3.418e-05,0.071347
forbind,13,146,1.32e-06,1.751e-05,0.075439
lokation,34,373,3.45e-06,4.473e-05,0.077229
sagsøgerens,10,105,1.02e-06,1.259e-05,0.08069
vidneudsagn,15,154,1.52e-06,1.847e-05,0.082524
kendelse,12,121,1.22e-06,1.451e-05,0.084024
please,312,3109,3.17e-05,0.00037286,0.085024
teskefuld,11,104,1.12e-06,1.247e-05,0.089612
canadisk,22,206,2.24e-06,2.471e-05,0.090482
jobopslag,11,100,1.12e-06,1.199e-05,0.093197
krimier,12,108,1.22e-06,1.295e-05,0.094138
exceptionelt,14,118,1.42e-06,1.415e-05,0.10052
indkaldt,84,681,8.54e-06,8.167e-05,0.104506
prisvenlige,11,88,1.12e-06,1.055e-05,0.105905
hjælpsom,33,250,3.35e-06,2.998e-05,0.111836
tefaciliteter,11,81,1.12e-06,9.71e-06,0.115058
fornavn,34,249,3.45e-06,2.986e-05,0.115688
annuller,12,87,1.22e-06,1.043e-05,0.116861
indkvarteringen,18,130,1.83e-06,1.559e-05,0.117311
tilgængelighedsværktøjer,14,98,1.42e-06,1.175e-05,0.121035
sprogvælger,14,98,1.42e-06,1.175e-05,0.121035
udstedte,34,231,3.45e-06,2.77e-05,0.124702
bubbles,13,88,1.32e-06,1.055e-05,0.125161
anmodede,36,241,3.66e-06,2.89e-05,0.126559
øjebliks,13,87,1.32e-06,1.043e-05,0.126599
gården,136,894,1.382e-05,0.00010722,0.128887
procentdel,19,124,1.93e-06,1.487e-05,0.129819
behørigt,12,78,1.22e-06,9.35e-06,0.130345
retsmøde,19,123,1.93e-06,1.475e-05,0.130875
transparens,12,77,1.22e-06,9.23e-06,0.132038
efternavn,43,269,4.37e-06,3.226e-05,0.135433
udviklinger,17,103,1.73e-06,1.235e-05,0.139836
muhammad,17,101,1.73e-06,1.211e-05,0.142605
adresserer,11,65,1.12e-06,7.8e-06,0.14338
opslag,121,715,1.229e-05,8.575e-05,0.14338
instruktionerne,17,100,1.73e-06,1.199e-05,0.144031
diversitet,13,76,1.32e-06,9.11e-06,0.144923
afbestillingsregler,32,187,3.25e-06,2.243e-05,0.144983
indkaldte,20,116,2.03e-06,1.391e-05,0.146076
fængslende,21,121,2.13e-06,1.451e-05,0.147042
bymidten,22,126,2.24e-06,1.511e-05,0.147931
beliggenheden,50,286,5.08e-06,3.43e-05,0.148119
bachelorgrad,10,57,1.02e-06,6.84e-06,0.148639
skilling,65,368,6.6e-06,4.413e-05,0.149649
arganolie,10,56,1.02e-06,6.72e-06,0.151293
socialdemokratiets,12,66,1.22e-06,7.92e-06,0.154044
vidnede,22,121,2.24e-06,1.451e-05,0.154044
celsius,19,103,1.93e-06,1.235e-05,0.156287
rediger,63,341,6.4e-06,4.09e-05,0.156529
sandsynligvis,383,2039,3.892e-05,0.00024453,0.159144
fejring,22,117,2.24e-06,1.403e-05,0.159311
engagerende,10,53,1.02e-06,6.36e-06,0.159857
specialiserer,22,114,2.24e-06,1.367e-05,0.163503
shoppingmuligheder,11,57,1.12e-06,6.84e-06,0.163503
afgav,23,118,2.34e-06,1.415e-05,0.165141
åh,82,418,8.33e-06,5.013e-05,0.166206
modparten,20,101,2.03e-06,1.211e-05,0.167771
politibetjente,17,85,1.73e-06,1.019e-05,0.169449
svor,11,54,1.12e-06,6.48e-06,0.172586
foged,54,265,5.49e-06,3.178e-05,0.172646
skør,25,122,2.54e-06,1.463e-05,0.173615
isis,16,78,1.63e-06,9.35e-06,0.173793
nytårsdag,14,68,1.42e-06,8.16e-06,0.174432
ræv,30,144,3.05e-06,1.727e-05,0.176509
håndkøbsmedicin,37,177,3.76e-06,2.123e-05,0.177107
barselsorlov,16,76,1.63e-06,9.11e-06,0.178367
rapporterer,68,320,6.91e-06,3.838e-05,0.180039
reducer,10,47,1.02e-06,5.64e-06,0.180264
bekvemme,20,94,2.03e-06,1.127e-05,0.180264
lejlighedsvis,39,183,3.96e-06,2.195e-05,0.18056
arbejdssted,15,70,1.52e-06,8.4e-06,0.181552
inkluderede,35,162,3.56e-06,1.943e-05,0.183046
sitets,15,69,1.52e-06,8.28e-06,0.184183
fremefter,13,59,1.32e-06,7.08e-06,0.186681
dovne,31,140,3.15e-06,1.679e-05,0.187604
oversætte,66,298,6.71e-06,3.574e-05,0.187644
forsendelsesomkostninger,14,63,1.42e-06,7.56e-06,0.188276
historiefortælling,12,53,1.22e-06,6.36e-06,0.191829
spiseområde,12,53,1.22e-06,6.36e-06,0.191829
solpaneler,13,57,1.32e-06,6.84e-06,0.193231
vidunderligt,74,324,7.52e-06,3.886e-05,0.193506
ed,127,555,1.29e-05,6.656e-05,0.193874
slæbte,14,61,1.42e-06,7.32e-06,0.194449
advokaten,48,209,4.88e-06,2.507e-05,0.194582
udtjekning,122,528,1.24e-05,6.332e-05,0.195764
forelæsning,27,116,2.74e-06,1.391e-05,0.197203
operativsystemet,14,60,1.42e-06,7.2e-06,0.19769
fladskærme,14,60,1.42e-06,7.2e-06,0.19769
betalingsmetode,33,138,3.35e-06,1.655e-05,0.202602
entusiastisk,17,71,1.73e-06,8.51e-06,0.202861
eventet,17,71,1.73e-06,8.51e-06,0.202861
ærværdige,29,121,2.95e-06,1.451e-05,0.203058
nævnte,289,1203,2.936e-05,0.00014427,0.203535
gradvist,115,475,1.169e-05,5.697e-05,0.205122
anm,12,49,1.22e-06,5.88e-06,0.207488
spillemaskiner,14,57,1.42e-06,6.84e-06,0.208095
udviklingslande,29,118,2.95e-06,1.415e-05,0.208221
kollapsede,15,61,1.52e-06,7.32e-06,0.208338
afskrække,10,40,1.02e-06,4.8e-06,0.211811
lejlighedens,12,48,1.22e-06,5.76e-06,0.211811
årsdagen,18,72,1.83e-06,8.63e-06,0.211811
indser,29,116,2.95e-06,1.391e-05,0.211811
regular,12,48,1.22e-06,5.76e-06,0.211811
iod,12,48,1.22e-06,5.76e-06,0.211811
veludstyret,45,179,4.57e-06,2.147e-05,0.212994
stilheden,30,118,3.05e-06,1.415e-05,0.215401
insisterede,27,106,2.74e-06,1.271e-05,0.215807
indbakke,49,192,4.98e-06,2.303e-05,0.216223
metroen,55,213,5.59e-06,2.554e-05,0.218772
dateret,278,1071,2.825e-05,0.00012844,0.219919
fjollede,12,46,1.22e-06,5.52e-06,0.22102
selvstyrende,11,42,1.12e-06,5.04e-06,0.221897
immigration,24,91,2.44e-06,1.091e-05,0.223449
abonner,18,68,1.83e-06,8.16e-06,0.22427
booke,133,502,1.351e-05,6.02e-05,0.224469
forseelser,13,49,1.32e-06,5.88e-06,0.224779
kontaktinformation,12,45,1.22e-06,5.4e-06,0.225931
selvsikker,12,45,1.22e-06,5.4e-06,0.225931
bebrejde,15,56,1.52e-06,6.72e-06,0.22694
vedrørende,712,2651,7.235e-05,0.00031793,0.227551
delvist,182,675,1.849e-05,8.095e-05,0.228442
ejendomsskat,10,37,1.02e-06,4.44e-06,0.228985
vanligt,26,96,2.64e-06,1.151e-05,0.229462
fjor,28,103,2.85e-06,1.235e-05,0.230318
spekulerer,28,103,2.85e-06,1.235e-05,0.230318
hjælpsomt,12,44,1.22e-06,5.28e-06,0.231066
indsendte,39,142,3.96e-06,1.703e-05,0.232693
lokationer,25,91,2.54e-06,1.091e-05,0.232759
arbejdstimer,11,40,1.12e-06,4.8e-06,0.232992
forårsagede,36,130,3.66e-06,1.559e-05,0.234621
sagsøger,18,65,1.83e-06,7.8e-06,0.234621
cirka,654,2335,6.645e-05,0.00028003,0.237301
erhvervserfaring,30,107,3.05e-06,1.283e-05,0.237545
nitrogen,11,39,1.12e-06,4.68e-06,0.238966
djs,11,39,1.12e-06,4.68e-06,0.238966
krydr,13,46,1.32e-06,5.52e-06,0.239438
indrømmede,23,81,2.34e-06,9.71e-06,0.240575
optagede,23,81,2.34e-06,9.71e-06,0.240575
døgnåbne,10,35,1.02e-06,4.2e-06,0.242069
fordreje,14,49,1.42e-06,5.88e-06,0.242069
godser,10,35,1.02e-06,4.2e-06,0.242069
ceo,91,318,9.25e-06,3.814e-05,0.24245
slående,33,115,3.35e-06,1.379e-05,0.243122
løjtnant,19,66,1.93e-06,7.92e-06,0.243903
efterforsker,22,76,2.24e-06,9.11e-06,0.245254
beordret,29,100,2.95e-06,1.199e-05,0.2457
indtjekning,134,460,1.362e-05,5.517e-05,0.246805
anklaget,66,226,6.71e-06,2.71e-05,0.247425
rapporterede,59,202,5.99e-06,2.423e-05,0.247462
opslaget,26,89,2.64e-06,1.067e-05,0.247509
alliances,19,65,1.93e-06,7.8e-06,0.247656
komitéen,12,41,1.22e-06,4.92e-06,0.247973
værge,33,112,3.35e-06,1.343e-05,0.249634
strikning,18,61,1.83e-06,7.32e-06,0.250006
udmattende,13,44,1.32e-06,5.28e-06,0.250322
estimeret,37,125,3.76e-06,1.499e-05,0.250784
kendelser,11,37,1.12e-06,4.44e-06,0.251883
gerningsstedet,11,37,1.12e-06,4.44e-06,0.251883
bedstemor,47,158,4.78e-06,1.895e-05,0.252028
ejendele,39,131,3.96e-06,1.571e-05,0.252233
fredfyldt,24,80,2.44e-06,9.59e-06,0.254173
implementeringen,72,240,7.32e-06,2.878e-05,0.254173
