word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
was,1487,12,0.00015109,1.44e-06,104.987498
dat,812,10,8.251e-05,1.2e-06,68.796112
imidlertid,1137,15,0.00011553,1.8e-06,64.221001
eksempelvis,985,13,0.00010008,1.56e-06,64.194932
hand,2624,35,0.00026662,4.2e-06,63.519
that,1497,24,0.00015211,2.88e-06,52.846767
såfremt,651,11,6.615e-05,1.32e-06,50.141367
there,645,11,6.554e-05,1.32e-06,49.679234
endvidere,628,11,6.381e-05,1.32e-06,48.369859
zu,536,10,5.446e-05,1.2e-06,45.412212
formentlig,528,11,5.365e-05,1.32e-06,40.667652
såvel,957,20,9.724e-05,2.4e-06,40.540566
que,525,11,5.334e-05,1.32e-06,40.436586
till,1743,37,0.0001771,4.44e-06,39.912003
this,1457,31,0.00014804,3.72e-06,39.82041
were,605,13,6.147e-05,1.56e-06,39.429374
særdeles,558,12,5.67e-05,1.44e-06,39.396788
with,2096,47,0.00021297,5.64e-06,37.783422
are,1263,30,0.00012833,3.6e-06,35.66892
fx,1912,50,0.00019428,6e-06,32.398563
ei,496,13,5.04e-05,1.56e-06,32.32557
hvorledes,490,13,4.979e-05,1.56e-06,31.934535
und,1898,52,0.00019285,6.24e-06,30.924361
not,1051,29,0.00010679,3.48e-06,30.705246
we,1669,47,0.00016958,5.64e-06,30.086131
citanten,940,27,9.551e-05,3.24e-06,29.4966
very,834,24,8.474e-05,2.88e-06,29.441686
our,773,23,7.854e-05,2.76e-06,28.474724
he,568,19,5.771e-05,2.28e-06,25.328099
ide,533,18,5.416e-05,2.16e-06,25.087799
das,614,21,6.239e-05,2.52e-06,24.771764
stay,306,11,3.109e-05,1.32e-06,23.568753
well,357,13,3.627e-05,1.56e-06,23.26659
vort,321,12,3.262e-05,1.44e-06,22.663744
die,1562,60,0.00015871,7.2e-06,22.056553
your,1130,44,0.00011482,5.28e-06,21.758734
wikikode,2350,92,0.00023878,1.103e-05,21.641527
doms,240,10,2.439e-05,1.2e-06,20.333826
hinde,228,10,2.317e-05,1.2e-06,19.317135
privatbank,218,10,2.215e-05,1.2e-06,18.469892
derpå,215,10,2.185e-05,1.2e-06,18.215719
so,790,37,8.027e-05,4.44e-06,18.089778
medvirke,208,10,2.113e-05,1.2e-06,17.622649
est,332,16,3.373e-05,1.92e-06,17.580287
almue,246,12,2.5e-05,1.44e-06,17.368476
location,204,10,2.073e-05,1.2e-06,17.283752
eder,367,18,3.729e-05,2.16e-06,17.274338
megen,385,19,3.912e-05,2.28e-06,17.167814
seer,280,14,2.845e-05,1.68e-06,16.944855
see,865,44,8.789e-05,5.28e-06,16.656022
forholdsvis,294,15,2.987e-05,1.8e-06,16.605958
order,351,18,3.566e-05,2.16e-06,16.521234
angaaende,194,10,1.971e-05,1.2e-06,16.436509
will,1063,56,0.00010801,6.72e-06,16.082483
help,263,14,2.672e-05,1.68e-06,15.91606
gaard,244,13,2.479e-05,1.56e-06,15.902095
know,206,11,2.093e-05,1.32e-06,15.866546
für,317,17,3.221e-05,2.04e-06,15.798586
can,699,38,7.102e-05,4.56e-06,15.584808
huus,202,11,2.052e-05,1.32e-06,15.558458
tilstede,257,14,2.611e-05,1.68e-06,15.552956
mio,1095,61,0.00011126,7.32e-06,15.208702
from,1108,62,0.00011258,7.44e-06,15.141048
into,276,16,2.804e-05,1.92e-06,14.614938
pct,827,48,8.403e-05,5.76e-06,14.597287
use,286,17,2.906e-05,2.04e-06,14.253613
here,354,22,3.597e-05,2.64e-06,13.632906
un,594,37,6.036e-05,4.44e-06,13.601681
through,155,10,1.575e-05,1.2e-06,13.132263
oprindelig,287,19,2.916e-05,2.28e-06,12.797825
etc,599,40,6.086e-05,4.8e-06,12.68746
vore,762,51,7.743e-05,6.12e-06,12.658804
parat,222,15,2.256e-05,1.8e-06,12.539193
features,147,10,1.494e-05,1.2e-06,12.454469
be,1335,91,0.00013565,1.091e-05,12.429331
his,363,25,3.688e-05,3e-06,12.301965
as,1348,93,0.00013697,1.115e-05,12.280465
apartment,576,40,5.853e-05,4.8e-06,12.200296
ste,236,17,2.398e-05,2.04e-06,11.761723
fandtes,164,12,1.666e-05,1.44e-06,11.578984
derved,705,52,7.163e-05,6.24e-06,11.486657
dér,244,18,2.479e-05,2.16e-06,11.484846
years,149,11,1.514e-05,1.32e-06,11.476288
åbenbart,267,20,2.713e-05,2.4e-06,11.310691
alm,213,16,2.164e-05,1.92e-06,11.278919
skidt,198,15,2.012e-05,1.8e-06,11.183604
medicijnen,132,10,1.341e-05,1.2e-06,11.183604
tilværelsen,131,10,1.331e-05,1.2e-06,11.09888
menneskene,157,12,1.595e-05,1.44e-06,11.084759
foruden,414,32,4.207e-05,3.84e-06,10.961203
or,937,73,9.521e-05,8.75e-06,10.874883
war,767,60,7.793e-05,7.2e-06,10.830587
how,280,22,2.845e-05,2.64e-06,10.78309
fogden,532,42,5.406e-05,5.04e-06,10.731742
around,190,15,1.931e-05,1.8e-06,10.731742
where,253,20,2.571e-05,2.4e-06,10.717621
even,176,14,1.788e-05,1.68e-06,10.651052
