word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
kvadrat,13,1524,1.32e-06,0.00017063,0.007741
paperback,35,2519,3.56e-06,0.00028203,0.01261
bekræftende,10,595,1.02e-06,6.662e-05,0.015253
arbejdstager,14,421,1.42e-06,4.714e-05,0.030179
nog,14,394,1.42e-06,4.411e-05,0.032247
fornavn,34,949,3.45e-06,0.00010625,0.032514
kon,19,488,1.93e-06,5.464e-05,0.035334
tbsp,10,253,1.02e-06,2.833e-05,0.035871
instans,42,1058,4.27e-06,0.00011846,0.036027
imdb,17,405,1.73e-06,4.534e-05,0.038094
detaljer,790,18416,8.027e-05,0.00206189,0.038931
suspension,24,553,2.44e-06,6.191e-05,0.039386
yeah,26,597,2.64e-06,6.684e-05,0.039524
eksekvering,20,400,2.03e-06,4.478e-05,0.045376
offentliggørelse,70,1399,7.11e-06,0.00015663,0.045409
hn,13,192,1.32e-06,2.15e-05,0.061447
hjorte,11,158,1.12e-06,1.769e-05,0.063182
fællesskabers,12,164,1.22e-06,1.836e-05,0.066405
boards,11,150,1.12e-06,1.679e-05,0.066552
butter,18,243,1.83e-06,2.721e-05,0.067224
verdensmarkedet,21,267,2.13e-06,2.989e-05,0.071379
sax,17,206,1.73e-06,2.306e-05,0.074893
verificeret,15,176,1.52e-06,1.971e-05,0.077346
marks,15,175,1.52e-06,1.959e-05,0.077788
chokoladekage,15,167,1.52e-06,1.87e-05,0.081515
bubbles,13,139,1.32e-06,1.556e-05,0.084877
scope,15,158,1.52e-06,1.769e-05,0.086158
riber,15,153,1.52e-06,1.713e-05,0.088974
støtteordning,10,100,1.02e-06,1.12e-05,0.090753
forbind,13,123,1.32e-06,1.377e-05,0.095918
é,30,276,3.05e-06,3.09e-05,0.098645
funding,15,137,1.52e-06,1.534e-05,0.099365
manse,20,180,2.03e-06,2.015e-05,0.100837
muhammad,17,150,1.73e-06,1.679e-05,0.102853
sch,12,101,1.22e-06,1.131e-05,0.107825
domstolens,40,328,4.06e-06,3.672e-05,0.110674
unions,81,662,8.23e-06,7.412e-05,0.111042
azorerne,11,89,1.12e-06,9.96e-06,0.112167
amoran,10,78,1.02e-06,8.73e-06,0.11635
faction,15,117,1.52e-06,1.31e-05,0.11635
indehaveren,28,210,2.85e-06,2.351e-05,0.121004
tyr,18,134,1.83e-06,1.5e-05,0.121907
tegnebog,11,81,1.12e-06,9.07e-06,0.123245
printing,11,81,1.12e-06,9.07e-06,0.123245
spekulerer,28,203,2.85e-06,2.273e-05,0.125177
court,94,680,9.55e-06,7.613e-05,0.125453
annuller,12,86,1.22e-06,9.63e-06,0.126632
hoffet,31,219,3.15e-06,2.452e-05,0.128463
ho,56,391,5.69e-06,4.378e-05,0.129979
generaldirektør,13,89,1.32e-06,9.96e-06,0.132561
insurance,16,109,1.63e-06,1.22e-05,0.133215
eagle,20,136,2.03e-06,1.523e-05,0.13346
ferie,921,6137,9.358e-05,0.00068711,0.136196
goal,23,153,2.34e-06,1.713e-05,0.136426
indtastede,20,133,2.03e-06,1.489e-05,0.136471
dekorere,16,105,1.63e-06,1.176e-05,0.13829
forfatter,620,3976,6.3e-05,0.00044516,0.141516
rock,338,2150,3.434e-05,0.00024072,0.142672
gi,81,509,8.23e-06,5.699e-05,0.14442
søns,53,328,5.39e-06,3.672e-05,0.146644
tilbudte,17,105,1.73e-06,1.176e-05,0.146933
vibe,39,240,3.96e-06,2.687e-05,0.147474
committee,24,147,2.44e-06,1.646e-05,0.148168
domstolen,160,977,1.626e-05,0.00010939,0.148623
prices,34,207,3.45e-06,2.318e-05,0.149063
author,36,217,3.66e-06,2.43e-05,0.150558
beer,19,114,1.93e-06,1.276e-05,0.151255
erhverve,53,318,5.39e-06,3.56e-05,0.151255
grundskolen,24,144,2.44e-06,1.612e-05,0.151255
uddannelsesmæssig,10,59,1.02e-06,6.61e-06,0.153819
sandsynligvis,383,2231,3.892e-05,0.00024979,0.155797
regulation,11,64,1.12e-06,7.17e-06,0.155982
optegnelser,16,91,1.63e-06,1.019e-05,0.159566
ns,19,108,1.93e-06,1.209e-05,0.159658
mors,130,737,1.321e-05,8.252e-05,0.16008
members,31,175,3.15e-06,1.959e-05,0.160762
slange,61,339,6.2e-06,3.796e-05,0.163302
rapporterer,68,375,6.91e-06,4.199e-05,0.164565
gennemførelsesbestemmelser,10,55,1.02e-06,6.16e-06,0.165005
hey,120,659,1.219e-05,7.378e-05,0.165256
payment,28,153,2.85e-06,1.713e-05,0.166084
sprogvælger,14,76,1.42e-06,8.51e-06,0.167177
tilgængelighedsværktøjer,14,76,1.42e-06,8.51e-06,0.167177
hængte,12,65,1.22e-06,7.28e-06,0.167544
nærværelse,12,65,1.22e-06,7.28e-06,0.167544
package,34,184,3.45e-06,2.06e-05,0.167696
rapporterede,59,319,5.99e-06,3.572e-05,0.16785
britain,10,54,1.02e-06,6.05e-06,0.168061
premierministeren,17,91,1.73e-06,1.019e-05,0.169539
guard,10,53,1.02e-06,5.93e-06,0.171232
sundhedspleje,41,217,4.17e-06,2.43e-05,0.171469
bakkerne,29,153,2.95e-06,1.713e-05,0.172015
høringen,16,84,1.63e-06,9.4e-06,0.172863
priser,2179,11392,0.00022141,0.00127547,0.173587
instruktionerne,17,88,1.73e-06,9.85e-06,0.175318
besvares,45,232,4.57e-06,2.598e-05,0.176029
bekvemme,20,103,2.03e-06,1.153e-05,0.176219
roning,10,51,1.02e-06,5.71e-06,0.177947
voldelig,22,112,2.24e-06,1.254e-05,0.178265
sutte,14,71,1.42e-06,7.95e-06,0.17895
deer,16,81,1.63e-06,9.07e-06,0.179265
graduate,20,101,2.03e-06,1.131e-05,0.179709
canadisk,22,111,2.24e-06,1.243e-05,0.179871
tefaciliteter,11,55,1.12e-06,6.16e-06,0.181506
ordføreren,18,90,1.83e-06,1.008e-05,0.181506
teske,14,70,1.42e-06,7.84e-06,0.181506
venstrefløjen,49,244,4.98e-06,2.732e-05,0.18225
hydrochlorthiazid,84,416,8.54e-06,4.658e-05,0.183251
immunsystem,10,49,1.02e-06,5.49e-06,0.18521
oprindelsesland,10,49,1.02e-06,5.49e-06,0.18521
udgiveren,14,68,1.42e-06,7.61e-06,0.186844
rapportere,54,261,5.49e-06,2.922e-05,0.187765
hi,177,836,1.798e-05,9.36e-05,0.192144
energimærke,14,66,1.42e-06,7.39e-06,0.192506
dekoreret,54,253,5.49e-06,2.833e-05,0.193702
association,106,495,1.077e-05,5.542e-05,0.19434
kendelse,12,56,1.22e-06,6.27e-06,0.194471
optional,21,98,2.13e-06,1.097e-05,0.194471
rick,54,252,5.49e-06,2.821e-05,0.194471
emissioner,31,144,3.15e-06,1.612e-05,0.195371
rustning,14,65,1.42e-06,7.28e-06,0.195468
førere,19,88,1.93e-06,9.85e-06,0.195944
enkeltværelse,18,83,1.83e-06,9.29e-06,0.196814
council,41,189,4.17e-06,2.116e-05,0.196872
encyclopedia,12,55,1.22e-06,6.16e-06,0.198007
employees,11,50,1.12e-06,5.6e-06,0.199657
teskefuld,11,50,1.12e-06,5.6e-06,0.199657
ger,26,118,2.64e-06,1.321e-05,0.199964
udfyldes,91,413,9.25e-06,4.624e-05,0.199964
vågn,19,86,1.93e-06,9.63e-06,0.200501
reproduktion,22,99,2.24e-06,1.108e-05,0.201673
buy,78,351,7.93e-06,3.93e-05,0.201673
gelé,16,72,1.63e-06,8.06e-06,0.201673
jakob,408,1835,4.146e-05,0.00020545,0.201783
tjenesteydelser,117,522,1.189e-05,5.844e-05,0.203412
hjælpsom,33,147,3.35e-06,1.646e-05,0.203731
tolerere,11,49,1.12e-06,5.49e-06,0.203731
vhs,36,160,3.66e-06,1.791e-05,0.204194
spisemuligheder,12,53,1.22e-06,5.93e-06,0.205478
tiltrådte,20,88,2.03e-06,9.85e-06,0.206257
cross,98,431,9.96e-06,4.826e-05,0.206352
survey,57,249,5.79e-06,2.788e-05,0.207748
california,79,344,8.03e-06,3.851e-05,0.208415
rapporteret,79,343,8.03e-06,3.84e-05,0.209023
kapital,211,915,2.144e-05,0.00010245,0.209277
basen,45,195,4.57e-06,2.183e-05,0.20943
traffic,22,95,2.24e-06,1.064e-05,0.210165
tja,41,177,4.17e-06,1.982e-05,0.210219
fløjl,10,43,1.02e-06,4.81e-06,0.211053
tiff,20,86,2.03e-06,9.63e-06,0.211053
morgenbuffet,40,172,4.06e-06,1.926e-05,0.211053
school,220,945,2.235e-05,0.0001058,0.211277
loop,35,150,3.56e-06,1.679e-05,0.211757
forelagde,11,47,1.12e-06,5.26e-06,0.212401
undslap,15,64,1.52e-06,7.17e-06,0.212702
terninger,15,64,1.52e-06,7.17e-06,0.212702
varigheden,19,81,1.93e-06,9.07e-06,0.212877
published,81,343,8.23e-06,3.84e-05,0.214315
indrømmede,23,97,2.34e-06,1.086e-05,0.215187
operativsystemet,14,59,1.42e-06,6.61e-06,0.215346
arresteret,55,231,5.59e-06,2.586e-05,0.216079
blonder,10,42,1.02e-06,4.7e-06,0.216079
overkroppen,21,88,2.13e-06,9.85e-06,0.21657
pressekonference,23,96,2.34e-06,1.075e-05,0.217429
juncker,32,133,3.25e-06,1.489e-05,0.218353
anslår,34,141,3.45e-06,1.579e-05,0.218837
says,28,116,2.85e-06,1.299e-05,0.219059
housing,16,66,1.63e-06,7.39e-06,0.220007
thus,17,70,1.73e-06,7.84e-06,0.2204
opkastning,17,70,1.73e-06,7.84e-06,0.2204
calendar,10,41,1.02e-06,4.59e-06,0.221349
lahme,11,45,1.12e-06,5.04e-06,0.221841
eut,23,94,2.34e-06,1.052e-05,0.222055
vogter,12,49,1.22e-06,5.49e-06,0.222252
professionalisme,26,106,2.64e-06,1.187e-05,0.222602
engine,29,118,2.95e-06,1.321e-05,0.223037
amerikas,30,122,3.05e-06,1.366e-05,0.223163
admin,31,126,3.15e-06,1.411e-05,0.223281
scenario,22,89,2.24e-06,9.96e-06,0.224333
lykkelig,150,605,1.524e-05,6.774e-05,0.225007
wo,41,164,4.17e-06,1.836e-05,0.226882
nederlandene,32,128,3.25e-06,1.433e-05,0.226882
historiefortælling,12,48,1.22e-06,5.37e-06,0.226882
litra,12,48,1.22e-06,5.37e-06,0.226882
attesten,10,40,1.02e-06,4.48e-06,0.226882
economics,27,108,2.74e-06,1.209e-05,0.226882
publisher,15,60,1.52e-06,6.72e-06,0.226882
sås,43,171,4.37e-06,1.915e-05,0.228209
barselsorlov,16,63,1.63e-06,7.05e-06,0.230484
aktionær,15,59,1.52e-06,6.61e-06,0.230728
fortolkningen,13,51,1.32e-06,5.71e-06,0.231331
leverfunktion,12,47,1.22e-06,5.26e-06,0.23171
genforening,12,47,1.22e-06,5.26e-06,0.23171
gåde,31,121,3.15e-06,1.355e-05,0.232508
bedstemor,47,183,4.78e-06,2.049e-05,0.233081
code,81,315,8.23e-06,3.527e-05,0.233365
generaldirektoratet,15,58,1.52e-06,6.49e-06,0.234706
skiløb,40,154,4.06e-06,1.724e-05,0.235722
forbrugerbeskyttelse,17,65,1.73e-06,7.28e-06,0.237354
hilset,17,65,1.73e-06,7.28e-06,0.237354
