word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
altså,2976,12,0.00030239,1.34e-06,225.067405
benytter,608,10,6.178e-05,1.12e-06,55.177815
firstname,750,13,7.621e-05,1.46e-06,52.357492
informationer,626,12,6.361e-05,1.34e-06,47.342808
saaledes,514,13,5.223e-05,1.46e-06,35.882334
evt,1074,28,0.00010913,3.13e-06,34.810252
kjære,498,13,5.06e-05,1.46e-06,34.765375
paa,7104,195,0.00072183,2.183e-05,33.062011
eftter,1485,41,0.00015089,4.59e-06,32.870289
udi,532,16,5.406e-05,1.79e-06,30.175368
herefter,900,30,9.145e-05,3.36e-06,27.225896
indenfor,1645,56,0.00016715,6.27e-06,26.65869
saa,3745,133,0.00038052,1.489e-05,25.55413
pct,827,30,8.403e-05,3.36e-06,25.017573
fagligt,262,10,2.662e-05,1.12e-06,23.777282
endvidere,628,26,6.381e-05,2.91e-06,21.920337
møtte,521,22,5.294e-05,2.46e-06,21.491957
rummer,418,18,4.247e-05,2.02e-06,21.07486
derimod,831,36,8.444e-05,4.03e-06,20.948814
naar,763,34,7.753e-05,3.81e-06,20.366038
udtaler,246,11,2.5e-05,1.23e-06,20.295668
snakke,352,16,3.577e-05,1.79e-06,19.965657
veninde,261,12,2.652e-05,1.34e-06,19.738774
derpå,215,10,2.185e-05,1.12e-06,19.511892
oplæst,200,10,2.032e-05,1.12e-06,18.150597
aar,1162,59,0.00011807,6.61e-06,17.873724
atter,452,23,4.593e-05,2.58e-06,17.834935
dennem,194,10,1.971e-05,1.12e-06,17.606079
aflagde,336,18,3.414e-05,2.02e-06,16.940557
arbejdsopgaver,185,10,1.88e-05,1.12e-06,16.789302
skidt,198,11,2.012e-05,1.23e-06,16.335537
benyttet,177,10,1.798e-05,1.12e-06,16.063278
maa,682,39,6.93e-05,4.37e-06,15.870138
dér,244,14,2.479e-05,1.57e-06,15.816949
fx,1912,113,0.00019428,1.265e-05,15.355726
vort,321,19,3.262e-05,2.13e-06,15.332478
strattera,209,13,2.124e-05,1.46e-06,14.590288
oplæg,270,17,2.743e-05,1.9e-06,14.413709
småt,174,11,1.768e-05,1.23e-06,14.355472
takt,264,17,2.682e-05,1.9e-06,14.093405
indstefne,186,12,1.89e-05,1.34e-06,14.066713
egentlig,1189,77,0.00012081,8.62e-06,14.013675
betegnes,151,10,1.534e-05,1.12e-06,13.703701
aftensmad,166,11,1.687e-05,1.23e-06,13.695451
fore,150,10,1.524e-05,1.12e-06,13.612948
skønt,405,27,4.115e-05,3.02e-06,13.612948
forholder,177,12,1.798e-05,1.34e-06,13.386065
faget,146,10,1.483e-05,1.12e-06,13.249936
formiddag,203,14,2.063e-05,1.57e-06,13.159183
sitet,287,20,2.916e-05,2.24e-06,13.023053
ei,496,35,5.04e-05,3.92e-06,12.860995
doms,240,17,2.439e-05,1.9e-06,12.812186
forløb,550,39,5.588e-05,4.37e-06,12.798498
indslag,141,10,1.433e-05,1.12e-06,12.796171
forløbet,296,21,3.008e-05,2.35e-06,12.791849
regnes,153,11,1.555e-05,1.23e-06,12.622915
vedkommende,486,35,4.938e-05,3.92e-06,12.6017
oplyser,597,43,6.066e-05,4.81e-06,12.599891
påbegyndt,437,32,4.44e-05,3.58e-06,12.393455
medfører,326,24,3.312e-05,2.69e-06,12.327281
seer,280,21,2.845e-05,2.35e-06,12.100398
nest,159,12,1.616e-05,1.34e-06,12.024771
konstatere,169,13,1.717e-05,1.46e-06,11.797888
stund,175,14,1.778e-05,1.57e-06,11.344123
hæfter,125,10,1.27e-05,1.12e-06,11.344123
tiltag,499,40,5.07e-05,4.48e-06,11.321435
ide,533,43,5.416e-05,4.81e-06,11.249149
fremgang,181,15,1.839e-05,1.68e-06,10.95086
samarbejdspartner,276,23,2.804e-05,2.58e-06,10.890358
neste,191,16,1.941e-05,1.79e-06,10.833638
cirka,654,55,6.645e-05,6.16e-06,10.791355
målsætninger,166,14,1.687e-05,1.57e-06,10.760711
bleven,236,20,2.398e-05,2.24e-06,10.708852
pga,609,52,6.188e-05,5.82e-06,10.628571
heri,163,14,1.656e-05,1.57e-06,10.56624
mene,162,14,1.646e-05,1.57e-06,10.501417
opbakning,231,20,2.347e-05,2.24e-06,10.48197
though,252,22,2.561e-05,2.46e-06,10.395342
færreste,114,10,1.158e-05,1.12e-06,10.34584
haand,125,11,1.27e-05,1.23e-06,10.312839
dernæst,284,25,2.886e-05,2.8e-06,10.309539
usual,113,10,1.148e-05,1.12e-06,10.255087
dertil,650,58,6.605e-05,6.49e-06,10.170593
foruden,414,37,4.207e-05,4.14e-06,10.154523
betjening,166,15,1.687e-05,1.68e-06,10.04333
ligget,199,18,2.022e-05,2.02e-06,10.033247
linie,110,10,1.118e-05,1.12e-06,9.982828
fandtes,164,15,1.666e-05,1.68e-06,9.922326
mon,393,36,3.993e-05,4.03e-06,9.907201
faa,109,10,1.108e-05,1.12e-06,9.892075
generika,173,16,1.758e-05,1.79e-06,9.812667
jamen,161,15,1.636e-05,1.68e-06,9.74082
pynt,138,13,1.402e-05,1.46e-06,9.633778
entered,105,10,1.067e-05,1.12e-06,9.529064
aner,104,10,1.057e-05,1.12e-06,9.438311
overenskomst,114,11,1.158e-05,1.23e-06,9.405309
eren,103,10,1.047e-05,1.12e-06,9.347558
uhyre,132,13,1.341e-05,1.46e-06,9.214919
opsat,111,11,1.128e-05,1.23e-06,9.157801
accessories,100,10,1.016e-05,1.12e-06,9.075299
fremstillede,129,13,1.311e-05,1.46e-06,9.005489
værelsestype,275,28,2.794e-05,3.13e-06,8.91324
vægter,108,11,1.097e-05,1.23e-06,8.910293
menneskene,157,16,1.595e-05,1.79e-06,8.905137
derved,705,72,7.163e-05,8.06e-06,8.88623
skaffe,303,31,3.079e-05,3.47e-06,8.870372
pædagoger,156,16,1.585e-05,1.79e-06,8.848416
egner,107,11,1.087e-05,1.23e-06,8.82779
ordinære,222,23,2.256e-05,2.58e-06,8.759636
medføre,298,31,3.028e-05,3.47e-06,8.723997
oplysning,373,39,3.79e-05,4.37e-06,8.679709
henvendelse,270,29,2.743e-05,3.25e-06,8.449416
overfor,780,84,7.925e-05,9.4e-06,8.427063
indtages,167,18,1.697e-05,2.02e-06,8.41986
indtog,120,13,1.219e-05,1.46e-06,8.377199
forholdsvis,294,32,2.987e-05,3.58e-06,8.337931
boer,91,10,9.25e-06,1.12e-06,8.258522
bagerste,100,11,1.016e-05,1.23e-06,8.250271
rejsemål,109,12,1.108e-05,1.34e-06,8.243396
qvæstion,118,13,1.199e-05,1.46e-06,8.237579
øvrigt,888,98,9.023e-05,1.097e-05,8.223332
strax,289,32,2.936e-05,3.58e-06,8.196129
omtalte,179,20,1.819e-05,2.24e-06,8.122392
pkt,124,14,1.26e-05,1.57e-06,8.038122
firmaets,97,11,9.86e-06,1.23e-06,8.002763
formentlig,528,60,5.365e-05,6.72e-06,7.986263
fremgangsmåde,165,19,1.677e-05,2.13e-06,7.88118
virkeligt,165,19,1.677e-05,2.13e-06,7.88118
forvejen,521,60,5.294e-05,6.72e-06,7.880384
melder,208,24,2.113e-05,2.69e-06,7.865259
reelt,353,41,3.587e-05,4.59e-06,7.813611
hvorledes,490,57,4.979e-05,6.38e-06,7.801572
