word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
vá,137,6018,1.389e-05,0.0007209,0.019269
ótrúlegt,209,6357,2.119e-05,0.0007615,0.027829
þýði,49,1101,4.97e-06,0.00013189,0.037671
textann,105,2007,1.065e-05,0.00024042,0.044284
evrópubandalagið,11,197,1.12e-06,2.36e-05,0.047264
bretta,17,297,1.72e-06,3.558e-05,0.04845
glaðlega,16,272,1.62e-06,3.258e-05,0.049791
ársþing,15,243,1.52e-06,2.911e-05,0.05225
frjálsir,37,562,3.75e-06,6.732e-05,0.055727
óperur,10,150,1.01e-06,1.797e-05,0.05643
áhyggju,11,162,1.12e-06,1.941e-05,0.057475
beiðnina,14,196,1.42e-06,2.348e-05,0.060461
fórnum,15,205,1.52e-06,2.456e-05,0.061935
gefðu,91,1213,9.23e-06,0.00014531,0.063501
upptekið,12,152,1.22e-06,1.821e-05,0.066825
gærkvöld,40,505,4.06e-06,6.049e-05,0.067046
þingvellir,15,188,1.52e-06,2.252e-05,0.067536
ljúffengt,16,200,1.62e-06,2.396e-05,0.067716
hóflegt,10,125,1.01e-06,1.497e-05,0.067716
eftirnafn,18,211,1.83e-06,2.528e-05,0.072209
verulegrar,10,115,1.01e-06,1.378e-05,0.073604
opinna,31,354,3.14e-06,4.241e-05,0.074124
varpaði,34,383,3.45e-06,4.588e-05,0.075142
svars,11,121,1.12e-06,1.449e-05,0.07695
veggina,23,252,2.33e-06,3.019e-05,0.077255
dansandi,24,254,2.43e-06,3.043e-05,0.07998
lava,24,253,2.43e-06,3.031e-05,0.080296
kölluðum,12,126,1.22e-06,1.509e-05,0.080614
fornafn,10,104,1.01e-06,1.246e-05,0.081389
þýtt,126,1265,1.278e-05,0.00015153,0.08431
leitir,33,324,3.35e-06,3.881e-05,0.086213
haldir,19,180,1.93e-06,2.156e-05,0.089348
árlegu,57,540,5.78e-06,6.469e-05,0.089348
óróa,20,188,2.03e-06,2.252e-05,0.090048
foreldraorlofi,12,112,1.22e-06,1.342e-05,0.090691
ólöglegt,61,566,6.19e-06,6.78e-05,0.091225
undirbúningsvinnu,16,148,1.62e-06,1.773e-05,0.091508
skriði,10,92,1.01e-06,1.102e-05,0.092005
meini,21,186,2.13e-06,2.228e-05,0.095567
skær,10,87,1.01e-06,1.042e-05,0.097293
forritað,13,111,1.32e-06,1.33e-05,0.099134
túlkað,37,315,3.75e-06,3.773e-05,0.099424
lækningum,10,85,1.01e-06,1.018e-05,0.099582
óhagstætt,13,110,1.32e-06,1.318e-05,0.100035
þyngja,14,118,1.42e-06,1.414e-05,0.100426
dagblaðinu,13,109,1.32e-06,1.306e-05,0.100953
hagnaðar,21,174,2.13e-06,2.084e-05,0.102158
hugrakkur,22,182,2.23e-06,2.18e-05,0.102318
hristi,30,244,3.04e-06,2.923e-05,0.104072
staðsetningin,30,242,3.04e-06,2.899e-05,0.104932
spam,16,129,1.62e-06,1.545e-05,0.104986
sigurþór,10,80,1.01e-06,9.58e-06,0.105806
stormurinn,12,95,1.22e-06,1.138e-05,0.10692
kynferðislegt,116,902,1.176e-05,0.00010805,0.108856
beiðnin,12,93,1.22e-06,1.114e-05,0.109219
endurteknar,15,116,1.52e-06,1.39e-05,0.109455
bless,32,245,3.24e-06,2.935e-05,0.110557
skífur,11,83,1.12e-06,9.94e-06,0.11218
verulegur,48,362,4.87e-06,4.336e-05,0.112237
kvenlega,10,75,1.01e-06,8.98e-06,0.11286
hliðstætt,10,75,1.01e-06,8.98e-06,0.11286
heimsóknar,19,142,1.93e-06,1.701e-05,0.113257
tölvupóstfang,32,239,3.24e-06,2.863e-05,0.113332
kynferðislegum,30,222,3.04e-06,2.659e-05,0.114385
bacon,11,81,1.12e-06,9.7e-06,0.11495
varkár,28,205,2.84e-06,2.456e-05,0.115613
samkomu,28,204,2.84e-06,2.444e-05,0.116179
tómi,11,80,1.12e-06,9.58e-06,0.116387
seturðu,12,87,1.22e-06,1.042e-05,0.116752
innlendu,20,145,2.03e-06,1.737e-05,0.116752
staðbundinn,16,112,1.62e-06,1.342e-05,0.120922
hrópað,11,77,1.12e-06,9.22e-06,0.120922
myndataka,15,105,1.52e-06,1.258e-05,0.120922
solveig,13,91,1.32e-06,1.09e-05,0.120922
hæsti,25,175,2.53e-06,2.096e-05,0.120922
hafur,10,70,1.01e-06,8.39e-06,0.120922
slysin,12,83,1.22e-06,9.94e-06,0.122378
söngva,16,110,1.62e-06,1.318e-05,0.12312
noreg,61,419,6.19e-06,5.019e-05,0.12323
samstarfsmenn,63,424,6.39e-06,5.079e-05,0.12577
glitrandi,17,114,1.72e-06,1.366e-05,0.126225
gjörða,24,159,2.43e-06,1.905e-05,0.127766
ristað,20,132,2.03e-06,1.581e-05,0.12825
strauk,17,112,1.72e-06,1.342e-05,0.128479
celsíus,14,92,1.42e-06,1.102e-05,0.128808
veifa,16,105,1.62e-06,1.258e-05,0.128983
samvista,16,105,1.62e-06,1.258e-05,0.128983
dómendur,11,72,1.12e-06,8.62e-06,0.129319
ógnvekjandi,49,318,4.97e-06,3.809e-05,0.130428
dofnar,10,64,1.01e-06,7.67e-06,0.132258
verðu,15,96,1.52e-06,1.15e-05,0.132258
neyða,38,243,3.85e-06,2.911e-05,0.132367
lagalega,39,248,3.95e-06,2.971e-05,0.133111
gagnfræðaskóla,19,120,1.93e-06,1.437e-05,0.134021
tólum,20,126,2.03e-06,1.509e-05,0.134357
sérhannaðar,11,69,1.12e-06,8.27e-06,0.134941
stórkostlegur,22,138,2.23e-06,1.653e-05,0.134941
röksemd,20,125,2.03e-06,1.497e-05,0.135432
hagnaðurinn,12,75,1.22e-06,8.98e-06,0.135432
spratt,51,316,5.17e-06,3.785e-05,0.136611
slitu,11,68,1.12e-06,8.15e-06,0.136926
stofnaðar,11,68,1.12e-06,8.15e-06,0.136926
heilsufari,16,98,1.62e-06,1.174e-05,0.138196
álfar,10,61,1.01e-06,7.31e-06,0.138762
lágra,10,61,1.01e-06,7.31e-06,0.138762
almanna,21,128,2.13e-06,1.533e-05,0.138871
ljómi,11,66,1.12e-06,7.91e-06,0.141075
troll,12,72,1.22e-06,8.62e-06,0.141075
suðausturlandi,11,66,1.12e-06,7.91e-06,0.141075
dimm,16,96,1.62e-06,1.15e-05,0.141075
landnámabók,11,66,1.12e-06,7.91e-06,0.141075
metrum,84,499,8.52e-06,5.978e-05,0.142489
borðuðu,16,95,1.62e-06,1.138e-05,0.14256
hurðirnar,14,83,1.42e-06,9.94e-06,0.142775
kvenmaður,10,59,1.01e-06,7.07e-06,0.143466
áttuðu,19,112,1.93e-06,1.342e-05,0.143594
skúr,19,112,1.93e-06,1.342e-05,0.143594
hrapaði,15,88,1.52e-06,1.054e-05,0.144281
kynferðislegur,21,123,2.13e-06,1.473e-05,0.144516
massage,27,158,2.74e-06,1.893e-05,0.144647
smíðuð,34,198,3.45e-06,2.372e-05,0.14535
smásala,16,93,1.62e-06,1.114e-05,0.145626
meltingarfærum,10,58,1.01e-06,6.95e-06,0.14594
stjórnandinn,15,87,1.52e-06,1.042e-05,0.14594
árlegar,18,104,1.83e-06,1.246e-05,0.146501
matvörubúðum,16,92,1.62e-06,1.102e-05,0.147209
kringumstæður,32,184,3.24e-06,2.204e-05,0.147209
samkomulagið,61,349,6.19e-06,4.181e-05,0.147947
breiðari,37,211,3.75e-06,2.528e-05,0.14843
leifarnar,10,57,1.01e-06,6.83e-06,0.1485
upprunnin,15,85,1.52e-06,1.018e-05,0.149374
hádegisverð,27,153,2.74e-06,1.833e-05,0.149374
bönnum,10,56,1.01e-06,6.71e-06,0.151152
kynferðislegra,10,56,1.01e-06,6.71e-06,0.151152
stöðuga,48,268,4.87e-06,3.21e-05,0.151603
velkomnar,14,78,1.42e-06,9.34e-06,0.151927
hugsanlegar,40,222,4.06e-06,2.659e-05,0.152514
sendimenn,11,61,1.12e-06,7.31e-06,0.152639
stressa,11,61,1.12e-06,7.31e-06,0.152639
sjálfvirkt,48,266,4.87e-06,3.186e-05,0.152743
leikendur,19,105,1.93e-06,1.258e-05,0.153167
óvenjulega,73,403,7.4e-06,4.828e-05,0.153327
skýrðu,12,66,1.22e-06,7.91e-06,0.1539
slakur,20,110,2.03e-06,1.318e-05,0.1539
saumaður,13,71,1.32e-06,8.51e-06,0.154984
veitingahúsið,13,71,1.32e-06,8.51e-06,0.154984
slasaður,11,60,1.12e-06,7.19e-06,0.155183
dimmu,22,120,2.23e-06,1.437e-05,0.155183
egilsstaðir,19,103,1.93e-06,1.234e-05,0.156141
áræðni,12,65,1.22e-06,7.79e-06,0.156268
matinu,17,92,1.72e-06,1.102e-05,0.156409
tækjunum,23,124,2.33e-06,1.485e-05,0.157003
samheldni,31,167,3.14e-06,2e-05,0.157126
útbrot,22,117,2.23e-06,1.402e-05,0.159162
rótt,13,69,1.32e-06,8.27e-06,0.159476
iris,10,53,1.01e-06,6.35e-06,0.159708
gullin,10,53,1.01e-06,6.35e-06,0.159708
kílómetrum,17,90,1.72e-06,1.078e-05,0.159885
ávinninginn,14,74,1.42e-06,8.86e-06,0.160139
skaðlegar,16,84,1.62e-06,1.006e-05,0.161229
