word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
klám,5458,11,0.00055342,1.32e-06,419.993395
ß,4448,20,0.00045101,2.4e-06,188.250612
hóra,3575,23,0.00036249,2.76e-06,131.567864
ý,5180,38,0.00052523,4.55e-06,115.384581
eg,2867,35,0.0002907,4.19e-06,69.336396
vídeó,1154,16,0.00011701,1.92e-06,61.050249
stefnumót,3510,51,0.0003559,6.11e-06,58.255717
gjarnan,744,11,7.544e-05,1.32e-06,57.25084
det,678,11,6.875e-05,1.32e-06,52.172137
kisa,779,14,7.899e-05,1.68e-06,47.098929
senn,556,11,5.638e-05,1.32e-06,42.78423
spilavíti,485,10,4.918e-05,1.2e-06,41.052854
fylgdar,696,16,7.057e-05,1.92e-06,36.820601
erótískt,1854,48,0.00018799,5.75e-06,32.694154
hóru,1013,27,0.00010271,3.23e-06,31.757572
þroskað,360,10,3.65e-05,1.2e-06,30.472221
med,501,14,5.08e-05,1.68e-06,30.290839
skækjur,1621,47,0.00016436,5.63e-06,29.193541
drusla,2096,66,0.00021253,7.91e-06,26.881219
han,665,21,6.743e-05,2.52e-06,26.804269
ess,471,15,4.776e-05,1.8e-06,26.578549
mælti,1239,41,0.00012563,4.91e-06,25.579324
heimasíðu,936,31,9.491e-05,3.71e-06,25.557347
noregi,708,24,7.179e-05,2.87e-06,24.970293
hórum,1037,36,0.00010515,4.31e-06,24.38248
druslan,276,10,2.799e-05,1.2e-06,23.362036
aðalfundur,317,12,3.214e-05,1.44e-06,22.360403
å,341,13,3.458e-05,1.56e-06,22.20305
þroskaður,287,11,2.91e-05,1.32e-06,22.084665
þarna,2163,83,0.00021932,9.94e-06,22.058706
landsmanna,280,11,2.839e-05,1.32e-06,21.546015
klst,615,25,6.236e-05,2.99e-06,20.822685
fæst,522,22,5.293e-05,2.64e-06,20.083964
krakkarnir,234,10,2.373e-05,1.2e-06,19.806944
stefnt,514,22,5.212e-05,2.64e-06,19.776164
fyr,604,26,6.124e-05,3.11e-06,19.663698
cougar,232,10,2.352e-05,1.2e-06,19.637654
hinnar,321,14,3.255e-05,1.68e-06,19.407903
gum,252,11,2.555e-05,1.32e-06,19.391414
sennilega,546,24,5.536e-05,2.87e-06,19.256751
viðhorf,496,22,5.029e-05,2.64e-06,19.083613
hve,1037,46,0.00010515,5.51e-06,19.081941
druslu,425,19,4.309e-05,2.28e-06,18.933763
libertine,395,18,4.005e-05,2.16e-06,18.574888
fyrirkomulag,285,13,2.89e-05,1.56e-06,18.556801
inní,241,11,2.444e-05,1.32e-06,18.544963
mundir,371,17,3.762e-05,2.04e-06,18.472539
merkir,343,16,3.478e-05,1.92e-06,18.145785
vitnið,363,17,3.681e-05,2.04e-06,18.07421
bænda,320,15,3.245e-05,1.8e-06,18.057613
húr,253,12,2.565e-05,1.44e-06,17.846
lykilorð,312,15,3.164e-05,1.8e-06,17.606172
tilvalið,264,13,2.677e-05,1.56e-06,17.189458
hinsegin,261,13,2.646e-05,1.56e-06,16.994123
hina,878,44,8.903e-05,5.27e-06,16.890537
lendir,218,11,2.21e-05,1.32e-06,16.775112
gærkvöldi,293,15,2.971e-05,1.8e-06,16.534002
súr,371,19,3.762e-05,2.28e-06,16.528062
suðurnesjum,252,13,2.555e-05,1.56e-06,16.408119
om,387,20,3.924e-05,2.4e-06,16.378819
fótspor,191,10,1.937e-05,1.2e-06,16.167206
bætist,191,10,1.937e-05,1.2e-06,16.167206
klárlega,210,11,2.129e-05,1.32e-06,16.159511
beinlínis,247,13,2.504e-05,1.56e-06,16.082561
vikunni,380,20,3.853e-05,2.4e-06,16.082561
jarða,265,14,2.687e-05,1.68e-06,16.022101
