word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
probably,18,2541,1.83e-06,0.0003297,0.005536
translation,20,2506,2.03e-06,0.00032516,0.006237
lt,12,738,1.22e-06,9.576e-05,0.012707
vefsetrinu,11,576,1.12e-06,7.474e-05,0.014924
jonsson,11,520,1.12e-06,6.747e-05,0.016531
prostitutes,51,2331,5.17e-06,0.00030246,0.017097
name,92,3929,9.33e-06,0.0005098,0.018298
does,63,2681,6.39e-06,0.00034787,0.018363
slut,10,367,1.01e-06,4.762e-05,0.021293
adult,12,387,1.22e-06,5.021e-05,0.024231
eagle,14,447,1.42e-06,5.8e-05,0.024475
sexual,12,373,1.22e-06,4.84e-05,0.025141
date,68,1932,6.89e-06,0.00025068,0.027505
ferđ,10,273,1.01e-06,3.542e-05,0.028625
pussy,13,354,1.32e-06,4.593e-05,0.028697
porn,23,598,2.33e-06,7.759e-05,0.030056
naked,25,623,2.53e-06,8.084e-05,0.031358
massage,27,669,2.74e-06,8.68e-05,0.031538
auđvitađ,11,255,1.12e-06,3.309e-05,0.03371
female,29,672,2.94e-06,8.719e-05,0.033723
hvađ,76,1711,7.71e-06,0.00022201,0.034711
verđ,20,450,2.03e-06,5.839e-05,0.034731
ástands,34,680,3.45e-06,8.823e-05,0.039073
valley,20,396,2.03e-06,5.138e-05,0.039467
framkvæmdastjórnarinnar,14,277,1.42e-06,3.594e-05,0.039496
eitthvađ,40,735,4.06e-06,9.537e-05,0.042528
fucking,23,413,2.33e-06,5.359e-05,0.043519
need,157,2785,1.592e-05,0.00036136,0.044053
committee,22,368,2.23e-06,4.775e-05,0.046717
umbreyting,20,331,2.03e-06,4.295e-05,0.047218
spanish,15,245,1.52e-06,3.179e-05,0.047844
looking,45,735,4.56e-06,9.537e-05,0.047844
woman,57,922,5.78e-06,0.00011963,0.048311
fengiđ,18,289,1.83e-06,3.75e-05,0.048672
klámi,17,267,1.72e-06,3.464e-05,0.049755
meeting,34,525,3.45e-06,6.812e-05,0.050608
hundraði,24,368,2.43e-06,4.775e-05,0.050964
mánuđi,14,211,1.42e-06,2.738e-05,0.05185
whores,92,1379,9.33e-06,0.00017893,0.052135
benedict,14,205,1.42e-06,2.66e-05,0.053368
virđist,10,146,1.01e-06,1.894e-05,0.053524
aðildarríkjanna,17,245,1.72e-06,3.179e-05,0.054223
meets,13,179,1.32e-06,2.323e-05,0.056754
mikiđ,67,912,6.79e-06,0.00011834,0.057409
samkoman,10,133,1.01e-06,1.726e-05,0.058756
petersson,10,132,1.01e-06,1.713e-05,0.059201
máliđ,11,143,1.12e-06,1.855e-05,0.060112
mađur,57,741,5.78e-06,9.615e-05,0.060112
hafnarfjörður,36,467,3.65e-06,6.059e-05,0.060241
gt,27,344,2.74e-06,4.464e-05,0.061335
became,10,127,1.01e-06,1.648e-05,0.061532
stađ,42,532,4.26e-06,6.903e-05,0.061694
court,21,262,2.13e-06,3.4e-05,0.062636
heather,15,187,1.52e-06,2.426e-05,0.062683
dating,61,757,6.19e-06,9.822e-05,0.062971
laws,10,124,1.01e-06,1.609e-05,0.06302
involved,12,148,1.22e-06,1.92e-05,0.063361
videos,50,610,5.07e-06,7.915e-05,0.064054
asi,14,170,1.42e-06,2.206e-05,0.064355
basis,11,132,1.12e-06,1.713e-05,0.065121
tiltækt,17,204,1.72e-06,2.647e-05,0.065121
republic,12,143,1.22e-06,1.855e-05,0.065577
međan,27,308,2.74e-06,3.996e-05,0.068504
kynmök,21,235,2.13e-06,3.049e-05,0.069832
cooperation,11,123,1.12e-06,1.596e-05,0.069886
johns,23,257,2.33e-06,3.335e-05,0.069936
berð,29,322,2.94e-06,4.178e-05,0.070379
registration,13,144,1.32e-06,1.868e-05,0.070548
played,11,121,1.12e-06,1.57e-05,0.071041
hvađa,17,186,1.72e-06,2.413e-05,0.071423
thor,90,973,9.13e-06,0.00012625,0.072282
lesbian,22,237,2.23e-06,3.075e-05,0.07254
mail,82,882,8.31e-06,0.00011444,0.072652
ađra,16,172,1.62e-06,2.232e-05,0.072693
notađ,13,139,1.32e-06,1.804e-05,0.073086
adults,11,117,1.12e-06,1.518e-05,0.07347
viđ,1006,10677,0.000102,0.00138538,0.07363
catherine,15,158,1.52e-06,2.05e-05,0.074189
morning,32,337,3.24e-06,4.373e-05,0.074203
films,36,378,3.65e-06,4.905e-05,0.074424
responsible,11,115,1.12e-06,1.492e-05,0.074748
veitendur,12,125,1.22e-06,1.622e-05,0.07502
considered,17,177,1.72e-06,2.297e-05,0.075055
eyjafjörður,10,104,1.01e-06,1.349e-05,0.07514
decision,24,247,2.43e-06,3.205e-05,0.075931
leiđ,47,482,4.77e-06,6.254e-05,0.0762
most,122,1236,1.237e-05,0.00016038,0.077134
pages,45,448,4.56e-06,5.813e-05,0.078494
mother,21,209,2.13e-06,2.712e-05,0.078519
hefđi,33,325,3.35e-06,4.217e-05,0.079348
girl,95,923,9.63e-06,0.00011976,0.080431
should,76,737,7.71e-06,9.563e-05,0.080584
eea,38,365,3.85e-06,4.736e-05,0.081357
free,299,2863,3.032e-05,0.00037148,0.081612
vestrinu,10,95,1.01e-06,1.233e-05,0.082258
serious,16,152,1.62e-06,1.972e-05,0.082258
movies,12,114,1.22e-06,1.479e-05,0.082258
mánudegi,27,256,2.74e-06,3.322e-05,0.082419
dollara,176,1661,1.785e-05,0.00021552,0.082803
according,31,292,3.14e-06,3.789e-05,0.082963
blaðsíðu,26,243,2.64e-06,3.153e-05,0.083612
member,18,167,1.83e-06,2.167e-05,0.084229
uni,20,184,2.03e-06,2.387e-05,0.084941
hey,114,1045,1.156e-05,0.00013559,0.08525
margaret,44,403,4.46e-06,5.229e-05,0.08532
groups,34,311,3.45e-06,4.035e-05,0.085432
samkomu,28,256,2.84e-06,3.322e-05,0.085472
costs,10,91,1.01e-06,1.181e-05,0.085874
points,12,109,1.22e-06,1.414e-05,0.086032
prix,27,243,2.74e-06,3.153e-05,0.086828
vændiskonu,38,341,3.85e-06,4.425e-05,0.087083
hafđi,33,296,3.35e-06,3.841e-05,0.087122
states,34,303,3.45e-06,3.932e-05,0.087688
ađgang,10,89,1.01e-06,1.155e-05,0.087804
french,50,443,5.07e-06,5.748e-05,0.0882
miðvikudegi,14,124,1.42e-06,1.609e-05,0.088229
öđrum,31,274,3.14e-06,3.555e-05,0.088413
ministry,11,97,1.12e-06,1.259e-05,0.088618
niđur,42,370,4.26e-06,4.801e-05,0.088706
commission,15,132,1.52e-06,1.713e-05,0.088802
says,27,234,2.74e-06,3.036e-05,0.090168
girls,106,911,1.075e-05,0.00011821,0.090927
stađar,12,103,1.22e-06,1.336e-05,0.091043
hospital,12,103,1.22e-06,1.336e-05,0.091043
although,19,163,1.93e-06,2.115e-05,0.09109
ađ,3712,31195,0.00037638,0.00404766,0.092988
difficult,17,142,1.72e-06,1.842e-05,0.093554
fact,31,258,3.14e-06,3.348e-05,0.093896
middle,23,191,2.33e-06,2.478e-05,0.094102
eđa,284,2352,2.88e-05,0.00030518,0.094359
famous,12,99,1.22e-06,1.285e-05,0.094722
not,602,4952,6.104e-05,0.00064254,0.094999
vefsetur,32,263,3.24e-06,3.413e-05,0.095082
women,192,1575,1.947e-05,0.00020436,0.095263
oscar,26,212,2.64e-06,2.751e-05,0.095839
orđ,18,146,1.83e-06,1.894e-05,0.096344
sources,10,81,1.01e-06,1.051e-05,0.096476
whale,12,97,1.22e-06,1.259e-05,0.096675
þjóðfélagsins,39,315,3.95e-06,4.087e-05,0.096751
aðalfundinn,13,105,1.32e-06,1.362e-05,0.096751
county,15,121,1.52e-06,1.57e-05,0.096874
starfsliði,10,80,1.01e-06,1.038e-05,0.097682
samkomuna,13,104,1.32e-06,1.349e-05,0.097682
miđur,11,88,1.12e-06,1.142e-05,0.097682
moved,10,80,1.01e-06,1.038e-05,0.097682
increase,23,183,2.33e-06,2.374e-05,0.098216
credit,25,197,2.53e-06,2.556e-05,0.099169
authority,14,110,1.42e-06,1.427e-05,0.099458
society,90,705,9.13e-06,9.148e-05,0.09976
dómstólsins,31,242,3.14e-06,3.14e-05,0.100104
byggingarframkvæmdir,14,109,1.42e-06,1.414e-05,0.10037
thus,13,101,1.32e-06,1.311e-05,0.100583
nei,898,6967,9.105e-05,0.00090399,0.100724
ferlisins,12,93,1.22e-06,1.207e-05,0.100833
vinnumarkaðinum,18,139,1.83e-06,1.804e-05,0.101195
umhverfisstofnun,126,967,1.278e-05,0.00012547,0.101823
case,45,343,4.56e-06,4.451e-05,0.102523
she,141,1073,1.43e-05,0.00013923,0.102689
documents,10,76,1.01e-06,9.86e-06,0.102823
church,45,342,4.56e-06,4.438e-05,0.102823
interests,10,76,1.01e-06,9.86e-06,0.102823
gefiđ,15,114,1.52e-06,1.479e-05,0.102823
websites,12,91,1.22e-06,1.181e-05,0.103049
akurinn,12,91,1.22e-06,1.181e-05,0.103049
umræðurnar,14,106,1.42e-06,1.375e-05,0.103211
late,18,136,1.83e-06,1.765e-05,0.103428
accordance,11,83,1.12e-06,1.077e-05,0.103566
suđur,13,98,1.32e-06,1.272e-05,0.103662
state,141,1058,1.43e-05,0.00013728,0.104145
section,12,90,1.22e-06,1.168e-05,0.104194
áđur,64,480,6.49e-06,6.228e-05,0.104194
meðlimi,46,345,4.66e-06,4.476e-05,0.104194
sih,10,75,1.01e-06,9.73e-06,0.104194
except,10,75,1.01e-06,9.73e-06,0.104194
aðalfundinum,18,134,1.83e-06,1.739e-05,0.104971
italian,16,119,1.62e-06,1.544e-05,0.105069
prices,10,74,1.01e-06,9.6e-06,0.105602
taken,33,244,3.35e-06,3.166e-05,0.105688
meðlima,46,340,4.66e-06,4.412e-05,0.105726
dalir,25,184,2.53e-06,2.387e-05,0.106176
gengiđ,14,103,1.42e-06,1.336e-05,0.106217
months,20,147,2.03e-06,1.907e-05,0.10632
