word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
stefnumótasíða,2403,10,0.00024366,1.3e-06,187.783342
fylgdarmaður,1371,10,0.00013901,1.3e-06,107.137313
sbr,992,12,0.00010059,1.56e-06,64.600179
kisa,779,13,7.899e-05,1.69e-06,46.827115
eg,2867,53,0.0002907,6.88e-06,42.272226
rekstri,682,13,6.915e-05,1.69e-06,40.996267
senn,556,11,5.638e-05,1.43e-06,39.498936
halldór,453,11,4.593e-05,1.43e-06,32.181687
þótti,860,21,8.72e-05,2.72e-06,32.002393
unnt,615,16,6.236e-05,2.08e-06,30.037129
raunar,409,11,4.147e-05,1.43e-06,29.055872
fylgdarstúlka,667,18,6.763e-05,2.34e-06,28.957204
jafnan,547,15,5.546e-05,1.95e-06,28.497014
vitnið,363,10,3.681e-05,1.3e-06,28.366772
druslu,425,12,4.309e-05,1.56e-06,27.676488
erótísk,345,10,3.498e-05,1.3e-06,26.960155
på,446,13,4.522e-05,1.69e-06,26.809876
lúxus,512,15,5.191e-05,1.95e-06,26.673622
stefnumótasíður,747,22,7.574e-05,2.85e-06,26.533908
félag,571,17,5.79e-05,2.21e-06,26.247653
skækjum,386,12,3.914e-05,1.56e-06,25.136763
umsögn,668,21,6.773e-05,2.72e-06,24.857672
ennfremur,365,13,3.701e-05,1.69e-06,21.940818
fjárhæð,268,10,2.717e-05,1.3e-06,20.942961
sigurðsson,604,23,6.124e-05,2.98e-06,20.521656
ess,471,18,4.776e-05,2.34e-06,20.44804
selfossi,285,11,2.89e-05,1.43e-06,20.246757
stefnumót,3510,136,0.0003559,1.765e-05,20.168403
erótískt,1854,73,0.00018799,9.47e-06,19.846785
druslur,601,24,6.094e-05,3.11e-06,19.568905
bónus,274,11,2.778e-05,1.43e-06,19.465303
óheimilt,239,10,2.423e-05,1.3e-06,18.676745
undanfarin,883,37,8.953e-05,4.8e-06,18.649289
tengið,333,14,3.376e-05,1.82e-06,18.587436
tíðina,309,13,3.133e-05,1.69e-06,18.574555
kjör,282,12,2.859e-05,1.56e-06,18.364164
allskonar,319,14,3.235e-05,1.82e-06,17.805982
rekstur,793,35,8.041e-05,4.54e-06,17.70551
allavega,444,20,4.502e-05,2.6e-06,17.348274
sl,797,36,8.081e-05,4.67e-06,17.300518
ákvæði,863,39,8.75e-05,5.06e-06,17.292169
fylgdar,696,32,7.057e-05,4.15e-06,16.99662
hóra,3575,166,0.00036249,2.154e-05,16.829501
landsvæði,322,15,3.265e-05,1.95e-06,16.775208
einelti,359,17,3.64e-05,2.21e-06,16.502465
síðastliðinn,419,20,4.249e-05,2.6e-06,16.371457
kíkja,250,12,2.535e-05,1.56e-06,16.280287
fátt,413,20,4.188e-05,2.6e-06,16.13702
erindi,949,46,9.623e-05,5.97e-06,16.121731
álíka,205,10,2.079e-05,1.3e-06,16.019802
vafrakökur,225,11,2.281e-05,1.43e-06,15.984282
þroskaðir,202,10,2.048e-05,1.3e-06,15.785366
nýtast,201,10,2.038e-05,1.3e-06,15.707221
med,501,25,5.08e-05,3.24e-06,15.660334
jeg,515,26,5.222e-05,3.37e-06,15.478796
brott,376,19,3.812e-05,2.47e-06,15.464559
bárust,393,20,3.985e-05,2.6e-06,15.355567
bíó,235,12,2.383e-05,1.56e-06,15.30347
ítrekað,274,14,2.778e-05,1.82e-06,15.294167
ið,215,11,2.18e-05,1.43e-06,15.273869
telst,407,21,4.127e-05,2.72e-06,15.145318
tilvalið,264,14,2.677e-05,1.82e-06,14.735985
eiginlega,714,38,7.24e-05,4.93e-06,14.683105
stefndi,337,18,3.417e-05,2.34e-06,14.630551
swinger,187,10,1.896e-05,1.3e-06,14.613186
ennþá,667,37,6.763e-05,4.8e-06,14.087288
tits,252,14,2.555e-05,1.82e-06,14.066168
ákvæðum,285,16,2.89e-05,2.08e-06,13.919645
kynlífsspjall,178,10,1.805e-05,1.3e-06,13.909877
rifa,178,10,1.805e-05,1.3e-06,13.909877
nßtt,192,11,1.947e-05,1.43e-06,13.63992
fjölmörg,209,12,2.119e-05,1.56e-06,13.61032
madríd,174,10,1.764e-05,1.3e-06,13.597296
limburg,226,13,2.292e-05,1.69e-06,13.585273
stefánsson,312,18,3.164e-05,2.34e-06,13.545199
lítt,224,13,2.271e-05,1.69e-06,13.46505
fj,304,18,3.082e-05,2.34e-06,13.197886
tómas,219,13,2.221e-05,1.69e-06,13.164491
líðan,438,26,4.441e-05,3.37e-06,13.164491
upplifun,623,37,6.317e-05,4.8e-06,13.157992
klám,5458,325,0.00055342,4.217e-05,13.123614
putas,218,13,2.21e-05,1.69e-06,13.104379
