word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
meget,1900,20,0.00019397,2.35e-06,82.393017
bl,1003,11,0.0001024,1.29e-06,79.081527
sig,466,10,4.757e-05,1.18e-06,40.415943
uka,442,11,4.512e-05,1.29e-06,34.849486
sø,476,13,4.859e-05,1.53e-06,31.756337
this,2746,75,0.00028034,8.83e-06,31.754558
syns,536,17,5.472e-05,2e-06,27.345298
bygd,461,15,4.706e-05,1.77e-06,26.654864
omtaler,616,22,6.289e-05,2.59e-06,24.284258
pga,468,18,4.778e-05,2.12e-06,22.549668
hittil,347,14,3.543e-05,1.65e-06,21.496524
epost,259,11,2.644e-05,1.29e-06,20.420853
boka,733,33,7.483e-05,3.88e-06,19.26446
they,510,23,5.207e-05,2.71e-06,19.231322
dels,412,20,4.206e-05,2.35e-06,17.866275
straks,398,20,4.063e-05,2.35e-06,17.259169
blev,202,11,2.062e-05,1.29e-06,15.926688
opplegg,191,11,1.95e-05,1.29e-06,15.059393
ombord,260,15,2.654e-05,1.77e-06,15.033112
etterkant,216,13,2.205e-05,1.53e-06,14.410439
opplysningene,396,24,4.043e-05,2.83e-06,14.310366
overhodet,179,11,1.827e-05,1.29e-06,14.113254
have,761,47,7.769e-05,5.53e-06,14.042796
forandringer,161,10,1.644e-05,1.18e-06,13.963448
well,161,10,1.644e-05,1.18e-06,13.963448
att,282,18,2.879e-05,2.12e-06,13.58762
är,187,12,1.909e-05,1.41e-06,13.515346
för,154,10,1.572e-05,1.18e-06,13.356342
legionellabakterier,168,11,1.715e-05,1.29e-06,13.245959
any,152,10,1.552e-05,1.18e-06,13.182883
dog,547,37,5.584e-05,4.36e-06,12.8219
their,295,20,3.012e-05,2.35e-06,12.7926
fsk,177,12,1.807e-05,1.41e-06,12.7926
fram,2862,195,0.00029218,2.295e-05,12.729221
foruten,293,20,2.991e-05,2.35e-06,12.70587
omkring,854,61,8.718e-05,7.18e-06,12.142129
our,389,28,3.971e-05,3.3e-06,12.049204
overkant,134,10,1.368e-05,1.18e-06,11.621752
gav,455,34,4.645e-05,4e-06,11.606447
ikkje,482,37,4.921e-05,4.36e-06,11.298274
vedkommende,557,43,5.686e-05,5.06e-06,11.234495
mill,373,29,3.808e-05,3.41e-06,11.155207
till,167,13,1.705e-05,1.53e-06,11.141404
deriblant,204,16,2.083e-05,1.88e-06,11.05801
know,139,11,1.419e-05,1.29e-06,10.959454
but,417,33,4.257e-05,3.88e-06,10.959454
these,151,12,1.542e-05,1.41e-06,10.913461
gruppa,151,12,1.542e-05,1.41e-06,10.913461
høyst,173,14,1.766e-05,1.65e-06,10.717287
neppe,356,29,3.634e-05,3.41e-06,10.646793
ei,1501,124,0.00015324,1.46e-05,10.498465
och,419,35,4.278e-05,4.12e-06,10.382759
eit,274,23,2.797e-05,2.71e-06,10.332122
framover,285,24,2.91e-05,2.83e-06,10.299127
cirka,344,29,3.512e-05,3.41e-06,10.287912
eec,130,11,1.327e-05,1.29e-06,10.249849
sorte,177,15,1.807e-05,1.77e-06,10.23408
låter,247,21,2.522e-05,2.47e-06,10.20104
opplegget,117,10,1.194e-05,1.18e-06,10.14735
ventes,116,10,1.184e-05,1.18e-06,10.060621
grunnet,299,26,3.052e-05,3.06e-06,9.973891
or,655,57,6.687e-05,6.71e-06,9.966284
riktignok,356,31,3.634e-05,3.65e-06,9.959903
rede,137,12,1.399e-05,1.41e-06,9.901617
give,125,11,1.276e-05,1.29e-06,9.855624
pr,1359,120,0.00013874,1.413e-05,9.822115
mormor,113,10,1.154e-05,1.18e-06,9.800433
into,146,13,1.491e-05,1.53e-06,9.740389
øvrige,538,48,5.492e-05,5.65e-06,9.72093
how,290,26,2.961e-05,3.06e-06,9.673674
stanse,144,13,1.47e-05,1.53e-06,9.606959
greier,242,22,2.471e-05,2.59e-06,9.540244
between,119,11,1.215e-05,1.29e-06,9.382554
used,107,10,1.092e-05,1.18e-06,9.280056
idet,278,26,2.838e-05,3.06e-06,9.273384
did,106,10,1.082e-05,1.18e-06,9.193326
ungene,275,26,2.807e-05,3.06e-06,9.173312
its,177,17,1.807e-05,2e-06,9.030071
we,799,77,8.157e-05,9.06e-06,8.999593
nu,258,25,2.634e-05,2.94e-06,8.950483
which,206,20,2.103e-05,2.35e-06,8.933138
been,247,24,2.522e-05,2.83e-06,8.92591
same,133,13,1.358e-05,1.53e-06,8.873094
events,153,15,1.562e-05,1.77e-06,8.846408
them,183,18,1.868e-05,2.12e-06,8.817498
night,775,77,7.912e-05,9.06e-06,8.729267
where,161,16,1.644e-05,1.88e-06,8.727155
ein,592,59,6.044e-05,6.94e-06,8.702349
make,230,23,2.348e-05,2.71e-06,8.672949
hverken,320,32,3.267e-05,3.77e-06,8.672949
help,110,11,1.123e-05,1.29e-06,8.672949
based,99,10,1.011e-05,1.18e-06,8.58622
konferanselokaler,118,12,1.205e-05,1.41e-06,8.5284
elva,363,37,3.706e-05,4.36e-06,8.508866
malling,196,20,2.001e-05,2.35e-06,8.49949
your,538,55,5.492e-05,6.47e-06,8.483721
liknende,176,18,1.797e-05,2.12e-06,8.480217
oc,215,22,2.195e-05,2.59e-06,8.475837
tilsendt,175,18,1.787e-05,2.12e-06,8.432034
retrett,96,10,9.8e-06,1.18e-06,8.326031
innimellom,172,18,1.756e-05,2.12e-06,8.287485
ud,172,18,1.756e-05,2.12e-06,8.287485
statsarkivet,95,10,9.7e-06,1.18e-06,8.239302
ungdommene,123,13,1.256e-05,1.53e-06,8.205944
framtid,160,17,1.633e-05,2e-06,8.162776
tilværelsen,94,10,9.6e-06,1.18e-06,8.152572
hjemmel,214,23,2.185e-05,2.71e-06,8.069614
oppslag,101,11,1.031e-05,1.29e-06,7.963344
really,101,11,1.031e-05,1.29e-06,7.963344
introduksjonsprogram,211,23,2.154e-05,2.71e-06,7.956488
skjønt,271,30,2.767e-05,3.53e-06,7.834564
førsteamanuensis,90,10,9.19e-06,1.18e-06,7.805654
can,482,54,4.921e-05,6.36e-06,7.74141
just,275,31,2.807e-05,3.65e-06,7.693745
avgårde,106,12,1.082e-05,1.41e-06,7.661105
tenkes,132,15,1.348e-05,1.77e-06,7.632195
those,88,10,8.98e-06,1.18e-06,7.632195
seneste,105,12,1.072e-05,1.41e-06,7.58883
formannskapet,140,16,1.429e-05,1.88e-06,7.58883
room,191,22,1.95e-05,2.59e-06,7.529697
that,1181,137,0.00012057,1.613e-05,7.476462
stod,668,78,6.82e-05,9.18e-06,7.427603
some,291,34,2.971e-05,4e-06,7.423024
look,171,20,1.746e-05,2.35e-06,7.415372
øyeblikkelig,171,20,1.746e-05,2.35e-06,7.415372
alminnelig,145,17,1.48e-05,2e-06,7.397515
hongkong,119,14,1.215e-05,1.65e-06,7.372007
stiftet,229,27,2.338e-05,3.18e-06,7.355946
tidenes,127,15,1.297e-05,1.77e-06,7.343097
about,347,41,3.543e-05,4.83e-06,7.340276
kvm,186,22,1.899e-05,2.59e-06,7.332584
with,1184,141,0.00012087,1.66e-05,7.282817
strider,83,10,8.47e-06,1.18e-06,7.198548
gravlagt,91,11,9.29e-06,1.29e-06,7.174894
såpass,306,37,3.124e-05,4.36e-06,7.172763
borti,82,10,8.37e-06,1.18e-06,7.111818
lensmennene,90,11,9.19e-06,1.29e-06,7.096049
joda,98,12,1e-05,1.41e-06,7.082908
vonde,81,10,8.27e-06,1.18e-06,7.025089
before,97,12,9.9e-06,1.41e-06,7.010634
june,97,12,9.9e-06,1.41e-06,7.010634
so,441,55,4.502e-05,6.47e-06,6.954128
inngår,457,57,4.665e-05,6.71e-06,6.953575
many,160,20,1.633e-05,2.35e-06,6.938359
smått,128,16,1.307e-05,1.88e-06,6.938359
think,135,17,1.378e-05,2e-06,6.887342
samboer,103,13,1.052e-05,1.53e-06,6.871644
medarbeider,95,12,9.7e-06,1.41e-06,6.866085
vidd,79,10,8.07e-06,1.18e-06,6.85163
only,221,28,2.256e-05,3.3e-06,6.845435
lufta,142,18,1.45e-05,2.12e-06,6.841993
most,134,17,1.368e-05,2e-06,6.836325
wc,94,12,9.6e-06,1.41e-06,6.79381
both,94,12,9.6e-06,1.41e-06,6.79381
around,86,11,8.78e-06,1.29e-06,6.780669
user,117,15,1.194e-05,1.77e-06,6.7649
should,78,10,7.96e-06,1.18e-06,6.7649
vakte,93,12,9.49e-06,1.41e-06,6.721536
utleid,77,10,7.86e-06,1.18e-06,6.678171
something,115,15,1.174e-05,1.77e-06,6.649261
skrivende,130,17,1.327e-05,2e-06,6.632255
ufattelig,76,10,7.76e-06,1.18e-06,6.591441
firmaer,91,12,9.29e-06,1.41e-06,6.576986
kirkerådet,91,12,9.29e-06,1.41e-06,6.576986
ve,204,27,2.083e-05,3.18e-06,6.552895
site,113,15,1.154e-05,1.77e-06,6.533622
