word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
bidraget,53,10709,5.41e-06,0.00124118,0.004359
says,19,2362,1.94e-06,0.00027376,0.007085
hey,59,5367,6.02e-06,0.00062204,0.009683
summen,125,8232,1.276e-05,0.00095409,0.013375
kildekode,40,2395,4.08e-06,0.00027758,0.014711
municipality,11,573,1.12e-06,6.641e-05,0.01691
pray,10,428,1.02e-06,4.961e-05,0.02058
â,20,828,2.04e-06,9.597e-05,0.021276
edit,62,2558,6.33e-06,0.00029647,0.021349
røntgen,33,1350,3.37e-06,0.00015647,0.021532
metallene,11,422,1.12e-06,4.891e-05,0.02296
ho,192,7293,1.96e-05,0.00084526,0.023189
bidragene,50,1761,5.1e-06,0.0002041,0.02501
thus,11,384,1.12e-06,4.451e-05,0.025232
known,17,579,1.74e-06,6.711e-05,0.025862
shall,21,698,2.14e-06,8.09e-05,0.026501
addition,26,782,2.65e-06,9.063e-05,0.029286
lufthavnen,11,329,1.12e-06,3.813e-05,0.029451
gall,12,353,1.23e-06,4.091e-05,0.029944
amount,13,382,1.33e-06,4.427e-05,0.029976
going,74,2120,7.55e-06,0.00024571,0.030746
grunnstoffet,11,313,1.12e-06,3.628e-05,0.030956
åh,73,2047,7.45e-06,0.00023725,0.031412
played,11,288,1.12e-06,3.338e-05,0.033643
several,41,1064,4.19e-06,0.00012332,0.033942
population,17,440,1.74e-06,5.1e-05,0.034032
necessary,11,281,1.12e-06,3.257e-05,0.034481
totalen,13,332,1.33e-06,3.848e-05,0.034491
therefore,25,634,2.55e-06,7.348e-05,0.034733
himself,16,389,1.63e-06,4.509e-05,0.03623
took,24,583,2.45e-06,6.757e-05,0.036261
section,11,262,1.12e-06,3.037e-05,0.036982
choose,18,427,1.84e-06,4.949e-05,0.037131
became,22,517,2.25e-06,5.992e-05,0.037482
quickly,12,281,1.23e-06,3.257e-05,0.037616
she,101,2348,1.031e-05,0.00027213,0.03789
dec,11,253,1.12e-06,2.932e-05,0.038297
funds,11,253,1.12e-06,2.932e-05,0.038297
also,196,4476,2.001e-05,0.00051877,0.038571
damage,10,228,1.02e-06,2.643e-05,0.038633
prices,17,384,1.74e-06,4.451e-05,0.038995
should,78,1756,7.96e-06,0.00020352,0.039126
according,32,712,3.27e-06,8.252e-05,0.039588
taken,32,706,3.27e-06,8.183e-05,0.039925
republic,24,526,2.45e-06,6.096e-05,0.04019
meeting,38,832,3.88e-06,9.643e-05,0.040231
exciting,12,259,1.23e-06,3.002e-05,0.040811
municipal,11,236,1.12e-06,2.735e-05,0.041056
facilities,25,534,2.55e-06,6.189e-05,0.041238
possible,33,700,3.37e-06,8.113e-05,0.041525
worked,13,275,1.33e-06,3.187e-05,0.04164
thursday,12,247,1.23e-06,2.863e-05,0.042794
least,30,614,3.06e-06,7.116e-05,0.043038
source,77,1572,7.86e-06,0.0001822,0.043145
period,38,755,3.88e-06,8.75e-05,0.044334
however,44,871,4.49e-06,0.00010095,0.044497
towards,13,256,1.33e-06,2.967e-05,0.04473
responsibility,12,235,1.23e-06,2.724e-05,0.044979
become,37,720,3.78e-06,8.345e-05,0.045265
moved,11,213,1.12e-06,2.469e-05,0.045489
had,176,3363,1.797e-05,0.00038977,0.046098
tasks,10,190,1.02e-06,2.202e-05,0.04636
opportunity,12,227,1.23e-06,2.631e-05,0.046564
meet,18,340,1.84e-06,3.941e-05,0.046633
after,133,2510,1.358e-05,0.00029091,0.046674
has,367,6911,3.747e-05,0.00080099,0.046776
placed,10,187,1.02e-06,2.167e-05,0.047104
ensure,13,243,1.33e-06,2.816e-05,0.047123
important,62,1148,6.33e-06,0.00013305,0.047571
itself,16,296,1.63e-06,3.431e-05,0.047613
received,28,517,2.86e-06,5.992e-05,0.047705
began,12,219,1.23e-06,2.538e-05,0.048265
verdiene,87,1570,8.88e-06,0.00018196,0.048811
completely,22,397,2.25e-06,4.601e-05,0.048812
was,519,9335,5.298e-05,0.00108193,0.048972
police,47,842,4.8e-06,9.759e-05,0.049168
experienced,10,179,1.02e-06,2.075e-05,0.049209
came,44,784,4.49e-06,9.087e-05,0.049435
pressure,10,178,1.02e-06,2.063e-05,0.049485
zebra,13,231,1.33e-06,2.677e-05,0.049571
responsible,15,265,1.53e-06,3.071e-05,0.049859
probably,28,491,2.86e-06,5.691e-05,0.050231
types,12,210,1.23e-06,2.434e-05,0.050334
lived,10,175,1.02e-06,2.028e-05,0.050334
both,94,1639,9.6e-06,0.00018996,0.050518
points,23,401,2.35e-06,4.648e-05,0.050522
gives,19,328,1.94e-06,3.802e-05,0.051024
students,25,430,2.55e-06,4.984e-05,0.051212
schools,11,189,1.12e-06,2.191e-05,0.051266
easily,13,223,1.33e-06,2.585e-05,0.051349
means,35,598,3.57e-06,6.931e-05,0.051554
agreement,20,340,2.04e-06,3.941e-05,0.051814
customers,18,306,1.84e-06,3.547e-05,0.051814
tells,11,186,1.12e-06,2.156e-05,0.052093
percent,15,251,1.53e-06,2.909e-05,0.05264
asked,16,267,1.63e-06,3.095e-05,0.052784
goods,12,200,1.23e-06,2.318e-05,0.05285
considered,15,249,1.53e-06,2.886e-05,0.053063
cooperation,15,248,1.53e-06,2.874e-05,0.053277
selection,18,297,1.84e-06,3.442e-05,0.053384
along,19,313,1.94e-06,3.628e-05,0.053469
gets,19,311,1.94e-06,3.605e-05,0.053813
easier,11,180,1.12e-06,2.086e-05,0.053829
included,16,261,1.63e-06,3.025e-05,0.053998
then,122,1987,1.245e-05,0.00023029,0.054083
similar,14,228,1.43e-06,2.643e-05,0.054087
longer,18,291,1.84e-06,3.373e-05,0.054485
among,53,842,5.41e-06,9.759e-05,0.055445
training,35,555,3.57e-06,6.432e-05,0.055548
month,18,285,1.84e-06,3.303e-05,0.055632
tried,13,205,1.33e-06,2.376e-05,0.055858
before,97,1528,9.9e-06,0.0001771,0.055917
car,49,768,5e-06,8.901e-05,0.056199
apply,12,188,1.23e-06,2.179e-05,0.056224
number,84,1313,8.58e-06,0.00015218,0.056352
called,45,695,4.59e-06,8.055e-05,0.057033
entire,12,185,1.23e-06,2.144e-05,0.057135
often,40,616,4.08e-06,7.139e-05,0.057197
said,54,829,5.51e-06,9.608e-05,0.057377
during,70,1073,7.15e-06,0.00012436,0.057464
teams,10,153,1.02e-06,1.773e-05,0.057571
went,42,642,4.29e-06,7.441e-05,0.057625
parts,24,366,2.45e-06,4.242e-05,0.05776
io,12,183,1.23e-06,2.121e-05,0.05776
outside,28,427,2.86e-06,4.949e-05,0.05776
value,54,823,5.51e-06,9.539e-05,0.057795
increased,18,274,1.84e-06,3.176e-05,0.057865
danish,16,243,1.63e-06,2.816e-05,0.057998
already,32,486,3.27e-06,5.633e-05,0.057998
registered,15,227,1.53e-06,2.631e-05,0.058205
shown,12,181,1.23e-06,2.098e-05,0.058398
other,196,2955,2.001e-05,0.00034249,0.058424
jernet,16,241,1.63e-06,2.793e-05,0.058479
opened,11,164,1.12e-06,1.901e-05,0.059081
evening,32,477,3.27e-06,5.528e-05,0.059092
courses,10,149,1.02e-06,1.727e-05,0.059117
that,1181,17592,0.00012057,0.00203892,0.059133
clothes,10,148,1.02e-06,1.715e-05,0.059516
paid,20,293,2.04e-06,3.396e-05,0.060125
equipment,21,307,2.14e-06,3.558e-05,0.060253
whether,30,437,3.06e-06,5.065e-05,0.060469
annual,16,232,1.63e-06,2.689e-05,0.060747
although,22,318,2.25e-06,3.686e-05,0.060939
cost,20,289,2.04e-06,3.35e-05,0.060958
purchase,12,173,1.23e-06,2.005e-05,0.061099
been,247,3546,2.522e-05,0.00041098,0.061356
elementet,66,947,6.74e-06,0.00010976,0.061389
conditions,29,416,2.96e-06,4.821e-05,0.061405
because,82,1168,8.37e-06,0.00013537,0.06184
when,249,3538,2.542e-05,0.00041006,0.061992
messages,10,142,1.02e-06,1.646e-05,0.062031
contents,10,142,1.02e-06,1.646e-05,0.062031
including,32,454,3.27e-06,5.262e-05,0.062086
such,94,1327,9.6e-06,0.0001538,0.062395
able,41,578,4.19e-06,6.699e-05,0.062482
earlier,11,155,1.12e-06,1.796e-05,0.062511
leader,22,309,2.25e-06,3.581e-05,0.062713
wants,19,266,1.94e-06,3.083e-05,0.062917
larger,10,140,1.02e-06,1.623e-05,0.062917
wrote,19,266,1.94e-06,3.083e-05,0.062917
operating,13,182,1.33e-06,2.109e-05,0.062917
which,206,2883,2.103e-05,0.00033414,0.062939
but,417,5805,4.257e-05,0.0006728,0.063275
subject,13,180,1.33e-06,2.086e-05,0.063616
offers,35,484,3.57e-06,5.61e-05,0.063697
employees,17,235,1.74e-06,2.724e-05,0.06372
claim,11,152,1.12e-06,1.762e-05,0.063745
built,24,330,2.45e-06,3.825e-05,0.064061
started,31,426,3.16e-06,4.937e-05,0.064099
years,140,1919,1.429e-05,0.00022241,0.064261
given,35,479,3.57e-06,5.552e-05,0.064362
added,19,260,1.94e-06,3.013e-05,0.064369
find,92,1258,9.39e-06,0.0001458,0.064417
authorities,19,258,1.94e-06,2.99e-05,0.064868
takes,26,349,2.65e-06,4.045e-05,0.065621
followed,12,161,1.23e-06,1.866e-05,0.065653
proposal,10,134,1.02e-06,1.553e-05,0.065734
difference,11,147,1.12e-06,1.704e-05,0.065913
who,302,4035,3.083e-05,0.00046766,0.065926
fornavn,37,494,3.78e-06,5.725e-05,0.065974
fixed,12,160,1.23e-06,1.854e-05,0.066063
prize,16,213,1.63e-06,2.469e-05,0.066166
someone,27,359,2.76e-06,4.161e-05,0.066247
while,78,1034,7.96e-06,0.00011984,0.066446
there,319,4219,3.257e-05,0.00048898,0.0666
until,49,646,5e-06,7.487e-05,0.066813
most,134,1758,1.368e-05,0.00020375,0.06714
many,160,2097,1.633e-05,0.00024304,0.067208
were,202,2643,2.062e-05,0.00030633,0.067321
kildekoden,18,234,1.84e-06,2.712e-05,0.067757
turned,11,143,1.12e-06,1.657e-05,0.067757
fact,32,416,3.27e-06,4.821e-05,0.067757
others,39,507,3.98e-06,5.876e-05,0.067757
him,60,779,6.13e-06,9.029e-05,0.067844
same,133,1724,1.358e-05,0.00019981,0.067953
where,161,2084,1.644e-05,0.00024154,0.068049
provide,26,336,2.65e-06,3.894e-05,0.06816
immediately,12,155,1.23e-06,1.796e-05,0.068194
