word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
omtaler,616,10,6.289e-05,1.16e-06,54.259641
altså,2612,43,0.00026666,4.98e-06,53.505807
gleder,954,16,9.739e-05,1.85e-06,52.519985
etterhvert,613,11,6.258e-05,1.27e-06,49.086718
øvrige,538,10,5.492e-05,1.16e-06,47.389102
benyttet,627,12,6.401e-05,1.39e-06,46.023803
ei,1501,29,0.00015324,3.36e-06,45.590977
igjennom,441,11,4.502e-05,1.27e-06,35.313609
benytter,555,15,5.666e-05,1.74e-06,32.591018
ikkje,482,14,4.921e-05,1.62e-06,30.326005
romtype,328,10,3.349e-05,1.16e-06,28.891497
preget,554,17,5.656e-05,1.97e-06,28.704967
idag,636,20,6.493e-05,2.32e-06,28.010659
sig,466,15,4.757e-05,1.74e-06,27.364711
mig,923,30,9.423e-05,3.48e-06,27.100459
fylkesmannen,307,10,3.134e-05,1.16e-06,27.041737
dreier,408,14,4.165e-05,1.62e-06,25.670146
utenom,364,13,3.716e-05,1.51e-06,24.663473
forskrift,769,28,7.851e-05,3.25e-06,24.191595
tilstede,311,12,3.175e-05,1.39e-06,22.828393
sammenlign,381,15,3.89e-05,1.74e-06,22.373294
nydelig,673,27,6.871e-05,3.13e-06,21.955711
skjønner,558,23,5.697e-05,2.67e-06,21.369904
betingelser,291,12,2.971e-05,1.39e-06,21.360329
benyttes,752,33,7.677e-05,3.82e-06,20.072437
ordfører,273,12,2.787e-05,1.39e-06,20.039072
fremtidige,223,10,2.277e-05,1.16e-06,19.642695
kommunestyret,345,16,3.522e-05,1.85e-06,18.993076
operasjonsleder,255,12,2.603e-05,1.39e-06,18.717814
och,419,20,4.278e-05,2.32e-06,18.453563
efter,355,17,3.624e-05,1.97e-06,18.393977
eg,686,33,7.003e-05,3.82e-06,18.31076
tilrettelagt,204,10,2.083e-05,1.16e-06,17.969102
skaffet,203,10,2.072e-05,1.16e-06,17.881018
meget,1900,96,0.00019397,1.113e-05,17.433259
etterlatte,214,11,2.185e-05,1.27e-06,17.136309
jevnlig,231,12,2.358e-05,1.39e-06,16.956138
bidro,245,13,2.501e-05,1.51e-06,16.600415
oppsto,188,10,1.919e-05,1.16e-06,16.559761
dels,412,22,4.206e-05,2.55e-06,16.4957
blev,202,11,2.062e-05,1.27e-06,16.175395
tingrett,201,11,2.052e-05,1.27e-06,16.095319
således,455,25,4.645e-05,2.9e-06,16.031258
meng,200,11,2.042e-05,1.27e-06,16.015242
behøver,289,16,2.95e-05,1.85e-06,15.910142
syns,536,30,5.472e-05,3.48e-06,15.737645
dei,528,30,5.39e-05,3.48e-06,15.502755
bedrift,455,26,4.645e-05,3.01e-06,15.414671
flest,550,32,5.615e-05,3.71e-06,15.139409
eit,274,16,2.797e-05,1.85e-06,15.084356
angående,204,12,2.083e-05,1.39e-06,14.974252
natta,165,10,1.684e-05,1.16e-06,14.533832
aktuelt,388,24,3.961e-05,2.78e-06,14.24022
sorte,177,11,1.807e-05,1.27e-06,14.173489
formidlet,433,27,4.42e-05,3.13e-06,14.126037
treningssenter,266,17,2.716e-05,1.97e-06,13.782529
angår,170,11,1.736e-05,1.27e-06,13.612956
vedtak,531,35,5.421e-05,4.06e-06,13.363576
grunnet,299,20,3.052e-05,2.32e-06,13.168533
spesialtilbudene,164,11,1.674e-05,1.27e-06,13.132499
tiltalt,148,10,1.511e-05,1.16e-06,13.036407
ein,592,40,6.044e-05,4.64e-06,13.036407
frogn,473,32,4.829e-05,3.71e-06,13.019892
filen,206,14,2.103e-05,1.62e-06,12.960907
benytte,778,53,7.943e-05,6.14e-06,12.930042
skiforbund,173,12,1.766e-05,1.39e-06,12.698753
eder,245,17,2.501e-05,1.97e-06,12.694435
är,187,13,1.909e-05,1.51e-06,12.670521
veske,273,19,2.787e-05,2.2e-06,12.656256
drap,229,16,2.338e-05,1.85e-06,12.606999
allikevel,398,28,4.063e-05,3.25e-06,12.520488
tida,254,18,2.593e-05,2.09e-06,12.429608
lodd,253,18,2.583e-05,2.09e-06,12.380672
kap,265,19,2.705e-05,2.2e-06,12.285377
heftet,138,10,1.409e-05,1.16e-06,12.155569
fsk,177,13,1.807e-05,1.51e-06,11.992953
massasje,285,21,2.91e-05,2.43e-06,11.954234
råvarer,149,11,1.521e-05,1.27e-06,11.931356
preg,254,19,2.593e-05,2.2e-06,11.775418
helhetlig,199,15,2.032e-05,1.74e-06,11.685788
innlegg,1020,77,0.00010413,8.92e-06,11.668248
neppe,356,27,3.634e-05,3.13e-06,11.614016
alminnelig,145,11,1.48e-05,1.27e-06,11.611051
fasiliteter,1445,110,0.00014752,1.275e-05,11.571013
baserer,144,11,1.47e-05,1.27e-06,11.530974
ulikt,157,12,1.603e-05,1.39e-06,11.524301
blomstene,130,10,1.327e-05,1.16e-06,11.450898
feiret,181,14,1.848e-05,1.62e-06,11.387981
att,282,22,2.879e-05,2.55e-06,11.290746
barnehagene,128,10,1.307e-05,1.16e-06,11.274731
styreleder,203,16,2.072e-05,1.85e-06,11.175636
deigen,239,19,2.44e-05,2.2e-06,11.080019
strekningen,138,11,1.409e-05,1.27e-06,11.050517
aksjonen,124,10,1.266e-05,1.16e-06,10.922395
trygghet,256,21,2.613e-05,2.43e-06,10.737839
kjennskap,217,18,2.215e-05,2.09e-06,10.618995
fremover,588,49,6.003e-05,5.68e-06,10.57006
verdig,119,10,1.215e-05,1.16e-06,10.481976
nødt,330,28,3.369e-05,3.25e-06,10.381309
medføre,232,20,2.368e-05,2.32e-06,10.217725
forsøkte,371,32,3.788e-05,3.71e-06,10.212219
bedriften,335,29,3.42e-05,3.36e-06,10.175201
renn,115,10,1.174e-05,1.16e-06,10.129641
stua,241,21,2.46e-05,2.43e-06,10.108668
