word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
lazy,13,3006,1.13e-06,0.00027744,0.004058
provide,60,3395,5.2e-06,0.00031335,0.016585
translate,42,1970,3.64e-06,0.00018183,0.020007
fox,74,3071,6.41e-06,0.00028344,0.022613
quick,104,3073,9.01e-06,0.00028363,0.03176
brown,120,3081,1.039e-05,0.00028437,0.036551
please,189,3400,1.637e-05,0.00031381,0.052167
english,191,3423,1.654e-05,0.00031593,0.052364
postmeddelandet,13,204,1.13e-06,1.883e-05,0.059803
matskedar,10,107,8.7e-07,9.88e-06,0.087705
jippi,12,128,1.04e-06,1.181e-05,0.087979
hittad,16,144,1.39e-06,1.329e-05,0.104272
obehaget,10,85,8.7e-07,7.85e-06,0.110405
postmeddelande,47,397,4.07e-06,3.664e-05,0.111101
stilfulla,15,122,1.3e-06,1.126e-05,0.115383
kela,10,76,8.7e-07,7.01e-06,0.12348
over,412,3075,3.569e-05,0.00028381,0.125737
slutförd,15,108,1.3e-06,9.97e-06,0.13034
dog,487,3469,4.218e-05,0.00032018,0.131745
expertis,68,442,5.89e-06,4.08e-05,0.144376
argumenterade,14,90,1.21e-06,8.31e-06,0.145981
räven,16,101,1.39e-06,9.32e-06,0.148665
kilogram,14,87,1.21e-06,8.03e-06,0.151014
förtjusande,26,159,2.25e-06,1.468e-05,0.153457
slutföras,10,61,8.7e-07,5.63e-06,0.153844
nedslående,14,85,1.21e-06,7.85e-06,0.154568
tesked,15,90,1.3e-06,8.31e-06,0.156408
årsstämman,18,108,1.56e-06,9.97e-06,0.156408
webbutiken,17,102,1.47e-06,9.41e-06,0.156408
föreställ,31,185,2.69e-06,1.707e-05,0.157253
affärsresor,10,58,8.7e-07,5.35e-06,0.161801
slutfört,30,173,2.6e-06,1.597e-05,0.162736
översätta,78,447,6.76e-06,4.126e-05,0.163756
övertygelser,14,80,1.21e-06,7.38e-06,0.164228
spårning,10,57,8.7e-07,5.26e-06,0.16464
involverad,47,267,4.07e-06,2.464e-05,0.165195
fysioterapeut,11,62,9.5e-07,5.72e-06,0.166499
campingplatsen,11,62,9.5e-07,5.72e-06,0.166499
valkampanjen,17,95,1.47e-06,8.77e-06,0.167932
affärsresenärer,26,143,2.25e-06,1.32e-05,0.170627
energisk,17,93,1.47e-06,8.58e-06,0.171544
ingrediensen,17,93,1.47e-06,8.58e-06,0.171544
onekligen,131,714,1.135e-05,6.59e-05,0.17218
sek,387,2109,3.352e-05,0.00019465,0.172204
sektion,53,284,4.59e-06,2.621e-05,0.175133
