word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
dels,1248,11,0.0001081,1.02e-06,106.470992
bl,1163,14,0.00010073,1.29e-06,77.95807
nån,747,15,6.47e-05,1.38e-06,46.734623
samtliga,1402,32,0.00012144,2.95e-06,41.115676
denne,509,12,4.409e-05,1.11e-06,39.805761
framförallt,820,20,7.102e-05,1.85e-06,38.476296
antagligen,485,14,4.201e-05,1.29e-06,32.510459
himla,663,20,5.743e-05,1.85e-06,31.109493
såhär,422,16,3.655e-05,1.48e-06,24.75152
såväl,1386,55,0.00012005,5.08e-06,23.648845
visserligen,625,25,5.413e-05,2.31e-06,23.461156
skall,5618,243,0.00048661,2.243e-05,21.696259
dom,4091,188,0.00035435,1.735e-05,20.421189
und,486,23,4.21e-05,2.12e-06,19.829777
skön,541,26,4.686e-05,2.4e-06,19.526901
hemsidan,452,24,3.915e-05,2.22e-06,17.674071
rejält,545,29,4.721e-05,2.68e-06,17.636317
konsekvensutredning,176,10,1.524e-05,9.2e-07,16.516654
således,492,28,4.261e-05,2.58e-06,16.489841
minsann,182,11,1.576e-05,1.02e-06,15.52702
givit,194,12,1.68e-05,1.11e-06,15.171548
jätte,381,24,3.3e-05,2.22e-06,14.897834
dagsläget,275,18,2.382e-05,1.66e-06,14.337373
givetvis,929,61,8.047e-05,5.63e-06,14.292075
tex,484,32,4.192e-05,2.95e-06,14.193999
viset,141,10,1.221e-05,9.2e-07,13.232092
utgörs,140,10,1.213e-05,9.2e-07,13.138247
omgående,210,15,1.819e-05,1.38e-06,13.138247
hemsidor,196,14,1.698e-05,1.29e-06,13.138247
ca,2304,172,0.00019956,1.588e-05,12.570815
sambo,251,19,2.174e-05,1.75e-06,12.397369
sysslar,143,11,1.239e-05,1.02e-06,12.199801
besked,367,29,3.179e-05,2.68e-06,11.876199
pga,454,36,3.932e-05,3.32e-06,11.83485
ungdomarna,162,13,1.403e-05,1.2e-06,11.694484
sortens,137,11,1.187e-05,1.02e-06,11.687921
tycks,828,67,7.172e-05,6.18e-06,11.597515
förvisso,271,22,2.347e-05,2.03e-06,11.559951
