word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
funktionssätt,15,608,1.3e-06,5.502e-05,0.023614
kronologi,10,373,8.7e-07,3.375e-05,0.025661
delegerade,14,460,1.21e-06,4.163e-05,0.02913
hallå,123,3926,1.065e-05,0.00035528,0.029987
euf,11,297,9.5e-07,2.688e-05,0.03545
twenty,12,316,1.04e-06,2.86e-05,0.036347
says,41,992,3.55e-06,8.977e-05,0.039559
na,78,1619,6.76e-06,0.00014651,0.046113
eut,31,606,2.69e-06,5.484e-05,0.048963
beräknade,48,920,4.16e-06,8.325e-05,0.049938
cbd,11,193,9.5e-07,1.747e-05,0.054552
försäkrings,11,192,9.5e-07,1.737e-05,0.054836
tillkännagivande,11,170,9.5e-07,1.538e-05,0.061933
becomes,13,199,1.13e-06,1.801e-05,0.062527
rattar,11,165,9.5e-07,1.493e-05,0.06381
stamps,10,150,8.7e-07,1.357e-05,0.06381
completely,25,354,2.17e-06,3.203e-05,0.067595
abstinens,13,184,1.13e-06,1.665e-05,0.067624
förordning,143,2017,1.239e-05,0.00018253,0.067859
offentliggjorts,19,233,1.65e-06,2.109e-05,0.07805
regionkommittén,15,180,1.3e-06,1.629e-05,0.079762
iscensatt,10,118,8.7e-07,1.068e-05,0.081114
difficult,26,302,2.25e-06,2.733e-05,0.082403
akter,42,481,3.64e-06,4.353e-05,0.083576
jordbruksprodukter,28,317,2.43e-06,2.869e-05,0.084543
pressure,11,123,9.5e-07,1.113e-05,0.085598
tunnor,10,108,8.7e-07,9.77e-06,0.088624
usually,30,321,2.6e-06,2.905e-05,0.089453
avhållsamhet,11,113,9.5e-07,1.023e-05,0.093173
upphävande,15,153,1.3e-06,1.385e-05,0.093838
tagg,35,356,3.03e-06,3.222e-05,0.094101
gelé,14,142,1.21e-06,1.285e-05,0.094366
therefore,38,382,3.29e-06,3.457e-05,0.095213
gives,22,219,1.91e-06,1.982e-05,0.096151
exciting,12,118,1.04e-06,1.068e-05,0.097337
teachers,16,156,1.39e-06,1.412e-05,0.098169
important,78,747,6.76e-06,6.76e-05,0.099943
interested,14,134,1.21e-06,1.213e-05,0.1
debate,12,114,1.04e-06,1.032e-05,0.100752
creature,11,104,9.5e-07,9.41e-06,0.101236
however,63,588,5.46e-06,5.321e-05,0.102551
became,26,241,2.25e-06,2.181e-05,0.10326
forced,11,101,9.5e-07,9.14e-06,0.104243
ecb,46,418,3.98e-06,3.783e-05,0.105332
calls,12,109,1.04e-06,9.86e-06,0.105374
authorities,16,145,1.39e-06,1.312e-05,0.105616
municipal,12,108,1.04e-06,9.77e-06,0.106349
marknads,34,304,2.94e-06,2.751e-05,0.107049
centralbanken,33,295,2.86e-06,2.67e-05,0.10707
several,55,488,4.76e-06,4.416e-05,0.107875
kyss,27,239,2.34e-06,2.163e-05,0.108129
tjugonde,23,192,1.99e-06,1.737e-05,0.114658
activities,27,224,2.34e-06,2.027e-05,0.11537
kulinariska,15,124,1.3e-06,1.122e-05,0.115783
according,46,380,3.98e-06,3.439e-05,0.115865
areas,27,223,2.34e-06,2.018e-05,0.115887
affected,16,132,1.39e-06,1.195e-05,0.116017
addition,32,262,2.77e-06,2.371e-05,0.116903
fördraget,121,964,1.048e-05,8.724e-05,0.120139
lose,10,79,8.7e-07,7.15e-06,0.121157
decision,20,157,1.73e-06,1.421e-05,0.121929
thus,28,219,2.43e-06,1.982e-05,0.122375
föreställ,31,238,2.69e-06,2.154e-05,0.12467
worse,11,83,9.5e-07,7.51e-06,0.12685
affect,10,75,8.7e-07,6.79e-06,0.127619
herself,10,74,8.7e-07,6.7e-06,0.129344
contains,11,81,9.5e-07,7.33e-06,0.129982
