word,count_original,count_bt,relfreq_original,relfreq_bt,ratio
funkar,733,10,6.349e-05,9e-07,70.158622
framförallt,820,12,7.102e-05,1.09e-06,65.40481
däremot,1924,36,0.00016665,3.26e-06,51.154005
slipper,535,11,4.634e-05,1e-06,46.551982
himla,663,17,5.743e-05,1.54e-06,37.328599
samtliga,1402,38,0.00012144,3.44e-06,35.31356
sköna,361,10,3.127e-05,9e-07,34.552882
framme,320,11,2.772e-05,1e-06,27.844176
visserligen,625,23,5.413e-05,2.08e-06,26.009336
bl,1163,46,0.00010073,4.16e-06,24.199086
skön,541,22,4.686e-05,1.99e-06,23.53703
besvär,536,23,4.643e-05,2.08e-06,22.305606
sajt,306,14,2.65e-05,1.27e-06,20.920423
iaf,321,15,2.78e-05,1.36e-06,20.482872
varenda,328,16,2.841e-05,1.45e-06,19.621443
överhuvudtaget,360,18,3.118e-05,1.63e-06,19.142871
väntas,236,12,2.044e-05,1.09e-06,18.823823
blott,238,13,2.061e-05,1.18e-06,17.52309
generella,170,10,1.472e-05,9e-07,16.27144
ju,11901,706,0.00103081,6.389e-05,16.134512
nä,217,13,1.88e-05,1.18e-06,15.976935
populäraste,165,10,1.429e-05,9e-07,15.792869
diverse,411,25,3.56e-05,2.26e-06,15.73544
sorters,293,18,2.538e-05,1.63e-06,15.58017
dennes,204,13,1.767e-05,1.18e-06,15.019791
dom,4091,262,0.00035435,2.371e-05,14.945322
troligtvis,248,16,2.148e-05,1.45e-06,14.835725
tänkbara,199,13,1.724e-05,1.18e-06,14.651659
receptfritt,305,20,2.642e-05,1.81e-06,14.596439
fjol,213,14,1.845e-05,1.27e-06,14.562255
hinner,601,40,5.206e-05,3.62e-06,14.381082
bebis,221,15,1.914e-05,1.36e-06,14.101915
ifall,467,32,4.045e-05,2.9e-06,13.968314
trist,248,17,2.148e-05,1.54e-06,13.963035
slänger,142,10,1.23e-05,9e-07,13.591438
emellan,282,20,2.443e-05,1.81e-06,13.495724
hen,265,19,2.295e-05,1.72e-06,13.349634
egentliga,138,10,1.195e-05,9e-07,13.208581
underlag,331,24,2.867e-05,2.17e-06,13.200605
tappat,234,17,2.027e-05,1.54e-06,13.1748
innefattar,202,15,1.75e-05,1.36e-06,12.889533
pga,454,34,3.932e-05,3.08e-06,12.780682
firstname,680,51,5.89e-05,4.62e-06,12.761914
lastname,681,52,5.899e-05,4.71e-06,12.534899
plugga,246,19,2.131e-05,1.72e-06,12.39249
givit,194,15,1.68e-05,1.36e-06,12.379057
allting,559,44,4.842e-05,3.98e-06,12.160074
förmiddagen,151,12,1.308e-05,1.09e-06,12.044056
sej,149,12,1.291e-05,1.09e-06,11.884532
denne,509,41,4.409e-05,3.71e-06,11.882587
kompis,504,41,4.365e-05,3.71e-06,11.765862
farmor,183,15,1.585e-05,1.36e-06,11.677151
tänkas,168,14,1.455e-05,1.27e-06,11.485723
fundera,646,54,5.595e-05,4.89e-06,11.450273
mjukvara,153,13,1.325e-05,1.18e-06,11.264843
såna,246,21,2.131e-05,1.9e-06,11.212253
tavlor,151,13,1.308e-05,1.18e-06,11.117591
miste,116,10,1.005e-05,9e-07,11.102865
funkade,127,11,1.1e-05,1e-06,11.050657
oj,300,26,2.598e-05,2.35e-06,11.043964
smitta,115,10,9.96e-06,9e-07,11.007151
boenden,135,12,1.169e-05,1.09e-06,10.767865
övergår,112,10,9.7e-06,9e-07,10.720008
alltså,4468,401,0.000387,3.629e-05,10.664632
konstatera,355,32,3.075e-05,2.9e-06,10.618311
åter,683,62,5.916e-05,5.61e-06,10.544017
inreda,121,11,1.048e-05,1e-06,10.528579
sköta,274,25,2.373e-05,2.26e-06,10.490293
övrigt,1201,110,0.00010403,9.95e-06,10.450267
stötta,151,14,1.308e-05,1.27e-06,10.323477
ytterst,418,39,3.621e-05,3.53e-06,10.258616
ej,1340,126,0.00011607,1.14e-05,10.179146
sköter,294,28,2.547e-05,2.53e-06,10.050007
kompisar,355,34,3.075e-05,3.08e-06,9.993705
funderingar,228,22,1.975e-05,1.99e-06,9.919488
fortsättningen,206,20,1.784e-05,1.81e-06,9.858579
grann,113,11,9.79e-06,1e-06,9.832475
mera,1232,120,0.00010671,1.086e-05,9.826674
tappar,297,29,2.572e-05,2.62e-06,9.80247
tycks,828,81,7.172e-05,7.33e-06,9.784134
besitter,102,10,8.83e-06,9e-07,9.762864
hyfsat,173,17,1.498e-05,1.54e-06,9.740343
nämnden,99,10,8.57e-06,9e-07,9.475721
likt,413,42,3.577e-05,3.8e-06,9.411912
mejl,265,27,2.295e-05,2.44e-06,9.394187
hinna,340,35,2.945e-05,3.17e-06,9.297966
sugen,425,44,3.681e-05,3.98e-06,9.245137
hunnit,589,61,5.102e-05,5.52e-06,9.241927
överlag,154,16,1.334e-05,1.45e-06,9.212507
råkat,125,13,1.083e-05,1.18e-06,9.203303
alster,115,12,9.96e-06,1.09e-06,9.172626
innanför,182,19,1.576e-05,1.72e-06,9.168428
rejäl,296,31,2.564e-05,2.81e-06,9.139177
sånt,715,75,6.193e-05,6.79e-06,9.124769
befinna,113,12,9.79e-06,1.09e-06,9.013102
spana,113,12,9.79e-06,1.09e-06,9.013102
nåja,103,11,8.92e-06,1e-06,8.962344
jobbade,354,38,3.066e-05,3.44e-06,8.916548
tex,484,53,4.192e-05,4.8e-06,8.740707
enbart,1342,147,0.00011624,1.33e-05,8.738004
duktiga,327,36,2.832e-05,3.26e-06,8.694054
vardags,118,13,1.022e-05,1.18e-06,8.687918
byggnads,108,12,9.35e-06,1.09e-06,8.614292
